Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
SRR908430_1 - illumina_universal_adapter	(1, 29.03910553949964)	(2, 31.490308760135733)	(3, 33.69309706809238)	(4, 35.440898241633896)	(5, 39.006006719852756)	(6, 43.545869181120466)	(7, 48.43062106508415)	(8, 50.283793533427584)	(9, 50.575580271935785)	(10, 50.79674878120999)	(15, 50.92469566740482)	(20, 51.127848187488624)	(25, 51.31042689275621)	(30, 51.55992610108137)	(35, 51.84278825235174)	(40, 52.224126690215336)	(45, 52.70002126887613)	(50, 53.295494195542986)	(55, 53.96133512937176)	(60, 54.779172070768354)	(65, 55.6341808910964)	(70, 56.6741594276031)	(75, 57.79470947132246)	(80, 59.003810326108876)	(85, 60.29584589656654)	(90, 61.70951719651191)	(95, 63.09085424425289)	(100, 64.49181982342661)	(105, 65.93688009219292)	(110, 67.35491637717362)	(115, 68.77681720304548)	(120, 70.17202767456118)	(125, 71.61213910679062)	(130, 73.02594941899825)	(135, 74.38779694756875)	(140, 75.7496722785917)	(145, 77.13423441081738)	(150, 78.41189611335616)	(155, 79.52802556713529)	(160, 80.56892158457296)	(165, 81.47286272122065)	(170, 82.216578324374)	(175, 82.85022401826065)	(180, 83.41094387935959)	(185, 83.91491893499926)	(190, 84.35383625189579)	(195, 84.72955859436361)	(200, 85.06999962466689)	(205, 85.35247254160289)	(210, 85.56997112715312)	(215, 85.71726852025617)	(220, 85.81574480684942)	(225, 85.8772994365833)	(230, 85.91024534274167)	(235, 85.92703802402409)	(240, 85.93293214394441)
SRR908430_1 - polya	(1, 4.456455103904715)	(2, 5.224358840693338)	(3, 5.407855026891922)	(4, 5.478751280650466)	(5, 5.561602588964373)	(6, 5.682126220353897)	(7, 5.726749156543098)	(8, 5.737870137524831)	(9, 5.742735566704339)	(10, 5.752021585824086)	(15, 5.7638654305696315)	(20, 5.775653670410267)	(25, 5.7881369715622615)	(30, 5.806987034326298)	(35, 5.823807518061168)	(40, 5.833232549443187)	(45, 5.841767902346666)	(50, 5.846466516811448)	(55, 5.86862507141755)	(60, 6.273289766890337)	(65, 35.06890142779494)	(70, 46.74440232372898)	(75, 48.2874662373968)	(80, 48.406988980497964)	(85, 48.58803855088057)	(90, 48.74820847946997)	(95, 48.956893687592185)	(100, 49.219543455928246)	(105, 49.57355208302924)	(110, 50.00713132905454)	(115, 50.52611970901953)	(120, 51.11352992447464)	(125, 51.809063877524636)	(130, 52.5788303786277)	(135, 53.48452306977998)	(140, 54.449629601827176)	(145, 55.48568799253782)	(150, 56.623503359231314)	(155, 57.825570193546774)	(160, 59.02051960003392)	(165, 60.23187245346912)	(170, 61.477033089088785)	(175, 62.6900818921237)	(180, 63.87193634350486)	(185, 64.948475104989)	(190, 65.96187449694938)	(195, 66.82144291947994)	(200, 67.47288218293735)	(205, 67.945218047684)	(210, 68.25749519365102)	(215, 68.4504442136841)	(220, 68.55111689402123)	(225, 68.61258811639775)	(230, 68.65062187135527)	(235, 68.67052842731258)	(240, 68.68178842055657)
SRR908430_1 - polyg	(1, 0.00027802452454330997)	(2, 0.00027802452454330997)	(3, 0.00027802452454330997)	(4, 0.00027802452454330997)	(5, 0.00027802452454330997)	(6, 0.00041703678681496493)	(7, 0.00041703678681496493)	(8, 0.00041703678681496493)	(9, 0.00041703678681496493)	(10, 0.0004170367868149649)	(15, 0.0011955054555362328)	(20, 0.00139012262271655)	(25, 0.0015291348849882048)	(30, 0.0015291348849882048)	(35, 0.0018349618619858457)	(40, 0.002085183934074825)	(45, 0.002446615815981128)	(50, 0.0034753065567913743)	(55, 0.0060609346350441575)	(60, 0.006589181231676446)	(65, 0.007423254805306376)	(70, 0.009007994595203243)	(75, 0.011148783434186729)	(80, 0.013289572273170217)	(85, 0.016598064115235605)	(90, 0.019322704455760044)	(95, 0.021074258960382897)	(100, 0.022798011012551418)	(105, 0.02396571401563332)	(110, 0.02507781211380656)	(115, 0.025967490592345148)	(120, 0.0265513420938861)	(125, 0.027885859811693992)	(130, 0.02866432848041526)	(135, 0.02988763638840582)	(140, 0.030805117319398743)	(145, 0.031778203155300326)	(150, 0.03258447427647592)	(155, 0.03391899199428382)	(160, 0.03472526311545941)	(165, 0.03547592933172635)	(170, 0.03689385440689723)	(175, 0.038395186839431106)	(180, 0.03956288984251301)	(185, 0.04078619775050357)	(190, 0.04214851792076579)	(195, 0.04562382447755717)	(200, 0.05037804384724777)	(205, 0.0614434199240715)	(210, 0.09772562037697344)	(215, 0.20020546012363752)	(220, 0.36635291599071956)	(225, 0.5919698176576155)	(230, 0.8394116445011616)	(235, 1.0789019699427684)	(240, 1.2392943181518041)
SRR908430_2 - illumina_universal_adapter	(1, 28.801672595539653)	(2, 31.17767018228678)	(3, 33.351404927428646)	(4, 35.056390324190495)	(5, 38.58215833218648)	(6, 43.066693913070075)	(7, 47.89820410058371)	(8, 49.72454720230871)	(9, 49.997706297672515)	(10, 50.21375915569512)	(15, 50.339732067765695)	(20, 50.54132765051205)	(25, 50.7274650696938)	(30, 50.977520327068056)	(35, 51.255517049158904)	(40, 51.60471585198529)	(45, 52.04735869751071)	(50, 52.61074759404528)	(55, 53.25367930705168)	(60, 54.039904860007695)	(65, 54.873366779683636)	(70, 55.886349134857184)	(75, 56.970644780576094)	(80, 58.12030399201514)	(85, 59.34030340816363)	(90, 60.68424615735354)	(95, 61.99057218837273)	(100, 63.314191344818525)	(105, 64.67578865131694)	(110, 66.00580237182722)	(115, 67.34540793843425)	(120, 68.6534021166007)	(125, 69.99653859466943)	(130, 71.30717400581905)	(135, 72.56637487992816)	(140, 73.8299407390726)	(145, 75.12047497709773)	(150, 76.31750956751895)	(155, 77.33958332464508)	(160, 78.29281820949426)	(165, 79.10734665904879)	(170, 79.77062976725178)	(175, 80.29712480937943)	(180, 80.71744228558401)	(185, 81.04056238800824)	(190, 81.28847685654353)	(195, 81.47945190245231)	(200, 81.66036246057264)	(205, 81.80980064251467)	(210, 81.91127959397298)	(215, 81.96580020323594)	(220, 81.98598478371778)	(225, 81.99599366660132)	(230, 82.001053712948)	(235, 82.00294427971491)	(240, 82.00402857536064)
SRR908430_2 - polya	(1, 0.007784686687212679)	(2, 0.009452833834472539)	(3, 0.01084295645718909)	(4, 0.011259993244004054)	(5, 0.014318263013980464)	(6, 0.021546900652106522)	(7, 0.0333629429451972)	(8, 0.03586516366608698)	(9, 0.03795034760016181)	(10, 0.057968113367280125)	(15, 0.0944449309873624)	(20, 0.12544466547394145)	(25, 0.33963475918210745)	(30, 0.4818999083909191)	(35, 0.5356142465326866)	(40, 0.5544643092967231)	(45, 0.5739260260147547)	(50, 0.5961957904306738)	(55, 5.272679503058965)	(60, 28.371596458523605)	(65, 36.52853018164733)	(70, 36.889934261101175)	(75, 36.97879089914521)	(80, 37.08674782202537)	(85, 37.19609486752826)	(90, 37.34347566798867)	(95, 37.527583508141255)	(100, 37.76418237852761)	(105, 38.04715573960779)	(110, 38.393629902093664)	(115, 38.80721918480428)	(120, 39.2771918410923)	(125, 39.80785725108812)	(130, 40.42598917650527)	(135, 41.07253520833073)	(140, 41.75739301963826)	(145, 42.50786461873802)	(150, 43.268539717888515)	(155, 44.00944727334398)	(160, 44.74037374836834)	(165, 45.42081096973565)	(170, 46.01108483779355)	(175, 46.45178151164714)	(180, 46.7102331096626)	(185, 46.89083784080593)	(190, 47.0610722571838)	(195, 47.29892223793061)	(200, 47.67314324796591)	(205, 48.188350494397106)	(210, 48.721879556995724)	(215, 49.15103821308078)	(220, 49.443297593280704)	(225, 49.66207509164384)	(230, 49.839204516230375)	(235, 50.04908522980812)	(240, 50.19093334223012)
SRR908430_2 - polyg	(1, 0.004309380130421305)	(2, 0.004865429179507924)	(3, 0.0055604904908662)	(4, 0.008201723474027645)	(5, 0.010008882883559158)	(6, 0.010147895145830813)	(7, 0.010981968719460744)	(8, 0.011399005506275709)	(9, 0.012372091342177293)	(10, 0.01765455730850018)	(15, 0.026134305307071136)	(20, 0.03244546201420427)	(25, 0.035392521974363364)	(30, 0.0373108911937122)	(35, 0.040452568321051596)	(40, 0.04684713238554773)	(45, 0.05421478228594545)	(50, 0.060081099753809285)	(55, 0.06850524284747157)	(60, 0.08354636962526464)	(65, 0.09647451001652856)	(70, 0.10762329345071528)	(75, 0.12272002513341702)	(80, 0.14059700206155185)	(85, 0.15694484410469847)	(90, 0.16895550356496947)	(95, 0.17849174475680502)	(100, 0.18677687558819564)	(105, 0.1956180554686729)	(110, 0.20301350782152494)	(115, 0.20971389886301872)	(120, 0.21510757463915892)	(125, 0.2206402626775708)	(130, 0.2267011973126149)	(135, 0.2332069711869284)	(140, 0.23873965922534027)	(145, 0.24341047123766785)	(150, 0.2467467655321876)	(155, 0.2528633050721404)	(160, 0.2600919427102665)	(165, 0.2678488269450249)	(170, 0.2789142030218486)	(175, 0.3116654920130505)	(180, 0.4173704162444169)	(185, 0.6506885972411627)	(190, 0.9555146859504478)	(195, 1.2252818821148215)	(200, 1.4286568218182523)	(205, 1.685301260424182)	(210, 2.159583296842615)	(215, 3.1863278659810583)	(220, 5.6260208713010575)	(225, 9.563070558453962)	(230, 13.53968313544938)	(235, 16.49494481908249)	(240, 18.05685879551435)
SRR908431_1 - illumina_universal_adapter	(1, 30.382027067953068)	(2, 31.887834367096822)	(3, 33.19875397740011)	(4, 34.56768758185873)	(5, 37.85678606405531)	(6, 42.09161097978753)	(7, 46.19723184751956)	(8, 47.910512922371375)	(9, 48.237947838536236)	(10, 48.56927657532576)	(15, 48.70760553630496)	(20, 48.88664262199655)	(25, 49.07177609351463)	(30, 49.29844365169578)	(35, 49.54674354668062)	(40, 49.90619432131493)	(45, 50.350640513826995)	(50, 50.921301558708194)	(55, 51.5183540544899)	(60, 52.18836652258219)	(65, 52.86766122973935)	(70, 53.614488159245454)	(75, 54.432937789332506)	(80, 55.340197994879034)	(85, 56.327537178120664)	(90, 57.492300854673964)	(95, 58.375018190828676)	(100, 59.262691298687514)	(105, 60.18847665084229)	(110, 61.063327682704745)	(115, 61.84976145432235)	(120, 62.65188850300295)	(125, 63.42192103017121)	(130, 64.15509992173027)	(135, 64.84493547663905)	(140, 65.51958906426378)	(145, 66.1690704781533)	(150, 66.7532222348957)	(155, 67.29127744848554)	(160, 67.78559601021047)	(165, 68.25096657213992)	(170, 68.66335757466106)	(175, 69.05218899582694)	(180, 69.39921100967949)	(185, 69.70288968688176)	(190, 69.97915429362554)	(195, 70.21750331368068)	(200, 70.4416536544883)	(205, 70.62533185971233)	(210, 70.76086828266777)	(215, 70.86313023846701)	(220, 70.93184240645981)	(225, 70.96936467793383)	(230, 70.99087902017314)	(235, 71.00259981356858)	(240, 71.00617898202157)
SRR908431_1 - polya	(1, 18.787684514000055)	(2, 21.562720010698175)	(3, 22.106674952507188)	(4, 22.293106364233488)	(5, 22.456332178297654)	(6, 22.737355899138247)	(7, 22.846304213585896)	(8, 22.87265633296493)	(9, 22.887405653512896)	(10, 22.90931331096681)	(15, 22.927956452139437)	(20, 22.934760805352234)	(25, 22.942076468344027)	(30, 22.946717587876453)	(35, 22.954347903039935)	(40, 22.960444288866427)	(45, 22.967956609465524)	(50, 22.97141778335411)	(55, 22.99820254946922)	(60, 23.549394491227105)	(65, 52.793678637870755)	(70, 63.0647121522602)	(75, 64.57590786984413)	(80, 64.69909419506074)	(85, 64.86031410153039)	(90, 65.023579247116)	(95, 65.2195682185574)	(100, 65.46149640706551)	(105, 65.79990481771806)	(110, 66.20159764640175)	(115, 66.69540489834768)	(120, 67.20773729690185)	(125, 67.77784770048261)	(130, 68.38170454947709)	(135, 69.04294608828353)	(140, 69.74863224634119)	(145, 70.52629508867291)	(150, 71.43693780506511)	(155, 72.36130722244728)	(160, 73.12551868443927)	(165, 73.90333885285685)	(170, 74.69874021136759)	(175, 75.44175198329198)	(180, 76.0989423753879)	(185, 76.7186104960098)	(190, 77.24911405747909)	(195, 77.70158388036926)	(200, 78.02441700852313)	(205, 78.24451620262026)	(210, 78.37328760388439)	(215, 78.44620824467353)	(220, 78.4906921954462)	(225, 78.52321936369465)	(230, 78.54280646138234)	(235, 78.55598252107185)	(240, 78.56215756994128)
SRR908431_1 - polyg	(1, 0.0005899728219186703)	(2, 0.0005899728219186703)	(3, 0.0005899728219186703)	(4, 0.0005899728219186703)	(5, 0.0005899728219186703)	(6, 0.0005899728219186703)	(7, 0.0005899728219186703)	(8, 0.0005899728219186703)	(9, 0.0005899728219186703)	(10, 0.0005899728219186703)	(15, 0.0005899728219186703)	(20, 0.0005899728219186703)	(25, 0.0005899728219186703)	(30, 0.0005899728219186703)	(35, 0.0005899728219186703)	(40, 0.0005899728219186703)	(45, 0.0005899728219186703)	(50, 0.0006293043433799149)	(55, 0.0007866304292248937)	(60, 0.0011406141223760959)	(65, 0.001376603251143564)	(70, 0.0014552662940660534)	(75, 0.002792538023748373)	(80, 0.004011815189046958)	(85, 0.005309755397268032)	(90, 0.008377614071245116)	(95, 0.009282239064853745)	(100, 0.010147532537001128)	(105, 0.010540847751613578)	(110, 0.010619510794536066)	(115, 0.011130820573532246)	(120, 0.011799456438373405)	(125, 0.01266474991052079)	(130, 0.01309739664659448)	(135, 0.013844695554358128)	(140, 0.014473999897738043)	(145, 0.015417956412807918)	(150, 0.016243918363494054)	(155, 0.01655857053518401)	(160, 0.016833891185412724)	(165, 0.017423864007331397)	(170, 0.01781717922194384)	(175, 0.018643141172629978)	(180, 0.01939044008039363)	(185, 0.02088503789592093)	(190, 0.0218289944109908)	(195, 0.022930277011905652)	(200, 0.02698142372241385)	(205, 0.03681430408772503)	(210, 0.0659196299690461)	(215, 0.14328473268331438)	(220, 0.2644651503054093)	(225, 0.4184873883476435)	(230, 0.5963445283953919)	(235, 0.7507994131736998)	(240, 0.8477909450971292)
SRR908431_2 - illumina_universal_adapter	(1, 30.158427368445892)	(2, 31.620183363553053)	(3, 32.907307403372286)	(4, 34.23631951354774)	(5, 37.48058006127851)	(6, 41.66112747739421)	(7, 45.70598114446861)	(8, 47.39585996405099)	(9, 47.70775892923866)	(10, 48.030198742177944)	(15, 48.16738708903476)	(20, 48.348548076885265)	(25, 48.54048590161613)	(30, 48.78595392705576)	(35, 49.04935712628172)	(40, 49.402750846611)	(45, 49.82233951755956)	(50, 50.37077825281516)	(55, 50.95980711821876)	(60, 51.61176641796035)	(65, 52.286026690370456)	(70, 53.02215544603912)	(75, 53.822355250168144)	(80, 54.69799291245984)	(85, 55.647416509012814)	(90, 56.77756844668022)	(95, 57.62866323958009)	(100, 58.48361252158317)	(105, 59.37447148268036)	(110, 60.22135780278389)	(115, 60.973927134423334)	(120, 61.73833525402263)	(125, 62.47104216732415)	(130, 63.16988464064756)	(135, 63.82801898925855)	(140, 64.46058784891976)	(145, 65.07191768699188)	(150, 65.62263765049224)	(155, 66.12647444041077)	(160, 66.59007508387447)	(165, 67.02099123300385)	(170, 67.39530932275053)	(175, 67.7328917714524)	(180, 67.999677481524)	(185, 68.1990096322896)	(190, 68.35971822898026)	(195, 68.48384851071194)	(200, 68.60408497181896)	(205, 68.70426235698075)	(210, 68.77112594346487)	(215, 68.80443974214253)	(220, 68.82044767137727)	(225, 68.82776333436905)	(230, 68.82992656804943)	(235, 68.8316964865152)	(240, 68.83252244846588)
