Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908430_1	(1.0, 13.778469899466481)	(2.0, 9.001919038452897)	(3.0, 6.630169102014667)	(4.0, 4.623815003255514)	(5.0, 2.987706586587235)	(6.0, 2.230365613115397)	(7.0, 1.5463357471425963)	(8.0, 1.2037168239718072)	(9.0, 0.8314346120137598)	('>10', 6.430666161065059)	('>50', 2.1940492553104844)	('>100', 6.91913587787234)	('>500', 2.454461840158843)	('>1k', 6.8651564079546565)	('>5k', 2.2635112088479685)	('>10k+', 30.03908682277029)
SRR908430_2	(1.0, 17.11627245189549)	(2.0, 8.781061233266875)	(3.0, 6.182879106770887)	(4.0, 4.187422612131017)	(5.0, 2.6546780630759104)	(6.0, 1.8959366795336596)	(7.0, 1.259881367115936)	(8.0, 0.9654733472413043)	(9.0, 0.6672726819056596)	('>10', 5.415353659763711)	('>50', 1.962256572632128)	('>100', 6.021471372529822)	('>500', 2.7205821739761826)	('>1k', 6.351238908769359)	('>5k', 1.2911237435819172)	('>10k+', 32.52709602581015)
SRR908431_1	(1.0, 11.520792608820488)	(2.0, 6.803173267151494)	(3.0, 4.458424615239391)	(4.0, 2.5943071555836994)	(5.0, 1.5840770268516295)	(6.0, 0.987614503891854)	(7.0, 0.6786654028137771)	(8.0, 0.46253869238423756)	(9.0, 0.4123910025211505)	('>10', 4.660588635550189)	('>50', 2.6422916117664177)	('>100', 7.175052802567563)	('>500', 2.059595121318078)	('>1k', 5.959315474200489)	('>5k', 1.4985309676734224)	('>10k+', 46.50264111166612)
SRR908431_2	(1.0, 13.58153729042028)	(2.0, 6.692430753959118)	(3.0, 4.154194537227706)	(4.0, 2.50857909488706)	(5.0, 1.4344179415937046)	(6.0, 0.9237413466196803)	(7.0, 0.5819014969148458)	(8.0, 0.39044737331347307)	(9.0, 0.3928281499800187)	('>10', 4.382811445054845)	('>50', 2.1091697285038276)	('>100', 6.3880205924528495)	('>500', 1.6699164335261703)	('>1k', 6.623915880496406)	('>5k', 0.0)	('>10k+', 48.166087935050015)
SRR908432_1	(1.0, 12.297622475924578)	(2.0, 5.521849695182963)	(3.0, 3.0076582534886787)	(4.0, 1.6800324096897161)	(5.0, 1.0445291565183012)	(6.0, 0.7877897470189431)	(7.0, 0.5176276497605881)	(8.0, 0.4510023087022945)	(9.0, 0.4524666019123669)	('>10', 7.325126783387105)	('>50', 3.903073551447942)	('>100', 12.718850822688735)	('>500', 4.8595010664935545)	('>1k', 10.589036348638452)	('>5k', 3.410094837390239)	('>10k+', 31.433738291755542)
SRR908432_2	(1.0, 14.687348994762711)	(2.0, 5.147478731141124)	(3.0, 2.678192281222392)	(4.0, 1.5062696154277933)	(5.0, 0.9151832562952406)	(6.0, 0.680896342683659)	(7.0, 0.49883588689799246)	(8.0, 0.41585927166055736)	(9.0, 0.3602161296778067)	('>10', 6.748927405223622)	('>50', 3.69636415995939)	('>100', 11.71751831586757)	('>500', 6.203478184471659)	('>1k', 8.168803721257145)	('>5k', 3.433523528751397)	('>10k+', 33.14110417469994)
SRR908433_1	(1.0, 11.197378174866373)	(2.0, 4.546837813585112)	(3.0, 2.2098240412001093)	(4.0, 1.356170262572666)	(5.0, 0.8914985759431938)	(6.0, 0.7490928953220709)	(7.0, 0.5789863836760173)	(8.0, 0.5118801451367484)	(9.0, 0.43541024540595374)	('>10', 9.34571417424213)	('>50', 4.6908041044048225)	('>100', 14.772345987281026)	('>500', 5.420779524794195)	('>1k', 12.630018337169831)	('>5k', 5.429753033436073)	('>10k+', 25.233506300963676)
SRR908433_2	(1.0, 13.030705005657211)	(2.0, 4.0412001092427134)	(3.0, 1.9769029690609028)	(4.0, 1.1626545979477976)	(5.0, 0.7881081502867621)	(6.0, 0.6273652998322344)	(7.0, 0.6226834692364714)	(8.0, 0.4400920760017166)	(9.0, 0.3792282782567984)	('>10', 8.32468495181616)	('>50', 4.413795794155514)	('>100', 14.798096055557721)	('>500', 5.417658304397019)	('>1k', 11.652686200304318)	('>5k', 6.28925910030822)	('>10k+', 26.034879637938435)
SRR908434_1	(1.0, 15.694194419441946)	(2.0, 3.185193519351935)	(3.0, 1.6606660666066606)	(4.0, 1.221872187218722)	(5.0, 1.0238523852385237)	(6.0, 0.7695769576957696)	(7.0, 0.7718271827182719)	(8.0, 0.6300630063006301)	(9.0, 0.5822457245724573)	('>10', 13.143564356435643)	('>50', 6.156053105310531)	('>100', 21.512151215121513)	('>500', 7.296354635463547)	('>1k', 12.54556705670567)	('>5k', 0.0)	('>10k+', 13.806818181818182)
SRR908434_2	(1.0, 14.861611161116112)	(2.0, 2.581008100810081)	(3.0, 1.4412691269126914)	(4.0, 0.891089108910891)	(5.0, 0.8550855085508551)	(6.0, 0.7088208820882088)	(7.0, 0.6615661566156615)	(8.0, 0.5445544554455445)	(9.0, 0.5214896489648965)	('>10', 11.486836183618362)	('>50', 6.368699369936993)	('>100', 20.878712871287128)	('>500', 8.533978397839784)	('>1k', 10.61487398739874)	('>5k', 4.2427992799279926)	('>10k+', 14.807605760576056)
SRR908435_1	(1.0, 26.270583662092978)	(2.0, 11.938730781000586)	(3.0, 5.1174850507406395)	(4.0, 2.5424079266225013)	(5.0, 1.4080837654765155)	(6.0, 0.8957149591841799)	(7.0, 0.5789478037201532)	(8.0, 0.5227071599301955)	(9.0, 0.4838349502518423)	('>10', 6.159177563291401)	('>50', 3.066769223134754)	('>100', 7.252975378176976)	('>500', 2.3368814563018465)	('>1k', 6.730681752392295)	('>5k', 0.0)	('>10k+', 24.69501856768313)
SRR908435_2	(1.0, 31.398820600616993)	(2.0, 11.009106021884227)	(3.0, 4.771356970945091)	(4.0, 2.042858678841112)	(5.0, 1.178572314716026)	(6.0, 0.7468426667989976)	(7.0, 0.5586846305899478)	(8.0, 0.37383486754501316)	(9.0, 0.4317296479170285)	('>10', 5.645154620417007)	('>50', 2.3104152709889254)	('>100', 7.233125739192285)	('>500', 2.4642499731202805)	('>1k', 2.9356788990066907)	('>5k', 0.0)	('>10k+', 26.899569097420372)
