Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR908430_1	SRR908430_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	719361.0	180.5 Mbp	0.0	251.0	43.0	23.52177978419963	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908430_2	SRR908430_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	719361.0	180.5 Mbp	0.0	251.0	48.0	26.20926097182125	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908431_1	SRR908431_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508498.0	127.6 Mbp	0.0	251.0	35.0	18.061427970218173	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908431_2	SRR908431_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508498.0	127.6 Mbp	0.0	251.0	39.0	19.852458407095515	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908432_1	SRR908432_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409754.0	102.8 Mbp	0.0	251.0	42.0	17.485613319211037	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908432_2	SRR908432_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409754.0	102.8 Mbp	0.0	251.0	47.0	19.439224510315945	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908433_1	SRR908433_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256310.0	64.3 Mbp	0.0	251.0	42.0	15.643166478092935	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908433_2	SRR908433_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256310.0	64.3 Mbp	0.0	251.0	47.0	16.99192384222231	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908434_1	SRR908434_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177760.0	44.6 Mbp	0.0	251.0	41.0	19.571894689468948	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908434_2	SRR908434_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177760.0	44.6 Mbp	0.0	251.0	47.0	18.1227497749775	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
