Sample	Median length	Mean length	Read N50	Median Qual	Mean Qual	# Reads (K)	Total Bases (Mb)
SRR16005710_post	9087.0	9363.7	9116.0	10.9	10.9	8.207	76.847775
SRR16005710_post_stats	9087.0	9363.7	9116.0	10.9	10.9	8.207	76.847775
SRR16005710_pre	564.0	1059.3	1315.0	9.6	9.4	796.0	843.1654699999999
SRR16005710_pre_stats	564.0	1059.3	1315.0	9.6	9.4	796.0	843.1654699999999
SRR16005711_post	9009.0	9709.2	9281.0	10.8	10.9	15.36	149.132565
SRR16005711_post_stats	9009.0	9709.2	9281.0	10.8	10.9	15.36	149.132565
SRR16005711_pre	1171.0	1859.9	2676.0	9.4	9.3	892.0	1659.043013
SRR16005711_pre_stats	1171.0	1859.9	2676.0	9.4	9.3	892.0	1659.043013
SRR16005712_post	8884.0	9102.9	8899.0	11.0	11.0	32.306	294.07928799999996
SRR16005712_post_stats	8884.0	9102.9	8899.0	11.0	11.0	32.306	294.07928799999996
SRR16005712_pre	1757.0	3063.0	5938.0	9.5	9.3	432.0	1323.2199349999999
SRR16005712_pre_stats	1757.0	3063.0	5938.0	9.5	9.3	432.0	1323.2199349999999
SRR16005713_post	8930.0	9963.2	9353.0	10.8	10.9	26.456	263.585304
SRR16005713_post_stats	8930.0	9963.2	9353.0	10.8	10.9	26.456	263.585304
SRR16005713_pre	1802.0	3042.6	4333.0	9.8	9.5	472.0	1436.087634
SRR16005713_pre_stats	1802.0	3042.6	4333.0	9.8	9.5	472.0	1436.087634
SRR16005714_post	9615.0	10261.8	9675.0	12.7	12.4	29.824	306.047619
SRR16005714_post_stats	9615.0	10261.8	9675.0	12.7	12.4	29.824	306.047619
SRR16005714_pre	713.0	1657.5	2723.0	11.7	11.1	1050.151	1740.669801
SRR16005714_pre_stats	713.0	1657.5	2723.0	11.7	11.1	1050.151	1740.669801
SRR16005715_post	9276.0	9683.5	9749.0	11.1	11.1	3.601	34.870275
SRR16005715_post_stats	9276.0	9683.5	9749.0	11.1	11.1	3.601	34.870275
SRR16005715_pre	1349.0	1509.8	1862.0	10.3	9.9	1280.0	1932.492076
SRR16005715_pre_stats	1349.0	1509.8	1862.0	10.3	9.9	1280.0	1932.492076
SRR16005716_post	9048.0	9418.3	9055.0	11.3	11.3	60.594	570.689635
SRR16005716_post_stats	9048.0	9418.3	9055.0	11.3	11.3	60.594	570.689635
SRR16005716_pre	895.0	2572.1	8434.0	10.3	9.9	628.0	1615.300119
SRR16005716_pre_stats	895.0	2572.1	8434.0	10.3	9.9	628.0	1615.300119
SRR16005717_post	9020.5	9216.6	9080.0	10.7	10.8	0.784	7.225823
SRR16005717_post_stats	9020.5	9216.6	9080.0	10.7	10.8	0.784	7.225823
SRR16005717_pre	661.0	1156.9	1813.0	9.8	9.7	528.0	610.8322939999999
SRR16005717_pre_stats	661.0	1156.9	1813.0	9.8	9.7	528.0	610.8322939999999
SRR16005718_post	9061.0	9400.2	9068.0	12.6	12.3	72.541	681.897054
SRR16005718_post_stats	9061.0	9400.2	9068.0	12.6	12.3	72.541	681.897054
SRR16005718_pre	811.0	2575.2	6466.0	11.5	10.9	696.0	1792.350015
SRR16005718_pre_stats	811.0	2575.2	6466.0	11.5	10.9	696.0	1792.350015
