Sample	Reads Q25-30	Reads Q15-20	Reads Q10-15	Reads <Q10
SRR16005710_post	0.0	0.0	8207.0	0.0
SRR16005710_post_stats	0.0	0.0	8207.0	0.0
SRR16005710_pre	0.0	10.0	312637.0	483353.0
SRR16005710_pre_stats	0.0	10.0	312637.0	483353.0
SRR16005711_post	0.0	0.0	15360.0	0.0
SRR16005711_post_stats	0.0	0.0	15360.0	0.0
SRR16005711_pre	0.0	1.0	307785.0	584214.0
SRR16005711_pre_stats	0.0	1.0	307785.0	584214.0
SRR16005712_post	0.0	0.0	32306.0	0.0
SRR16005712_post_stats	0.0	0.0	32306.0	0.0
SRR16005712_pre	0.0	5.0	170798.0	261197.0
SRR16005712_pre_stats	0.0	5.0	170798.0	261197.0
SRR16005713_post	0.0	0.0	26456.0	0.0
SRR16005713_post_stats	0.0	0.0	26456.0	0.0
SRR16005713_pre	0.0	3.0	207604.0	264393.0
SRR16005713_pre_stats	0.0	3.0	207604.0	264393.0
SRR16005714_post	0.0	387.0	29437.0	0.0
SRR16005714_post_stats	0.0	387.0	29437.0	0.0
SRR16005714_pre	1.0	14798.0	794193.0	241159.0
SRR16005714_pre_stats	1.0	14798.0	794193.0	241159.0
SRR16005715_post	0.0	0.0	3601.0	0.0
SRR16005715_post_stats	0.0	0.0	3601.0	0.0
SRR16005715_pre	0.0	51.0	717808.0	562141.0
SRR16005715_pre_stats	0.0	51.0	717808.0	562141.0
SRR16005716_post	0.0	0.0	60594.0	0.0
SRR16005716_post_stats	0.0	0.0	60594.0	0.0
SRR16005716_pre	0.0	7.0	365561.0	262432.0
SRR16005716_pre_stats	0.0	7.0	365561.0	262432.0
SRR16005717_post	0.0	0.0	784.0	0.0
SRR16005717_post_stats	0.0	0.0	784.0	0.0
SRR16005717_pre	0.0	47.0	225104.0	302849.0
SRR16005717_pre_stats	0.0	47.0	225104.0	302849.0
SRR16005718_post	0.0	759.0	71782.0	0.0
SRR16005718_post_stats	0.0	759.0	71782.0	0.0
SRR16005718_pre	0.0	7412.0	506084.0	182504.0
SRR16005718_pre_stats	0.0	7412.0	506084.0	182504.0
