stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
assembly_illumina	bwa_consensus	SRR908437	2.73		0	1	9719bp, 0.00% N	(see ease_of_use_notes.md)
assembly_illumina	spades	SRR908437	3.46		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	shiver	SRR908437	0.01		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	bwa_consensus	SRR908434	6.26		0	1	9719bp, 0.00% N	(see ease_of_use_notes.md)
assembly_illumina	spades	SRR908434	3.50		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	shiver	SRR908434	0.01		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	bwa_consensus	SRR908441	13.31		0	1	9719bp, 0.00% N	(see ease_of_use_notes.md)
assembly_illumina	spades	SRR908441	4.52		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	shiver	SRR908441	0.01		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	bwa_consensus	SRR908446	47.78		0	1	9719bp, 0.00% N	(see ease_of_use_notes.md)
assembly_illumina	spades	SRR908446	3.37		1	0	n/a	(see ease_of_use_notes.md)
assembly_illumina	shiver	SRR908446	0.02		1	0	n/a	(see ease_of_use_notes.md)
