stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
assembly_pacbio	minimap2_consensus	124_4	5.52		0	1	9728bp, 8914bp called, 8.36% N, ref=HXB2	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_bestref	124_4	3.17		0	1	9694bp, 8829bp called, 8.92% N, ref=D:KU168271	(see ease_of_use_notes.md)
assembly_pacbio	hifiasm	124_4	1.13		0	0	0 contigs (empty overlap graph; amplicon input)	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_consensus	128_5	3.46		0	0	9751bp, 5469bp called, 43.91% N, ref=HXB2	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_bestref	128_5	3.79		0	0	9751bp, 5469bp called, 43.91% N, ref=B:K03455	(see ease_of_use_notes.md)
assembly_pacbio	hifiasm	128_5	2.49		0	0	0 contigs (empty overlap graph; amplicon input)	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_consensus	203_3	1.66		0	0	9730bp, 1178bp called, 87.89% N, ref=HXB2	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_bestref	203_3	2.02		0	0	9807bp, 1134bp called, 88.43% N, ref=A1:KU168256	(see ease_of_use_notes.md)
assembly_pacbio	hifiasm	203_3	0.57		0	0	0 contigs (empty overlap graph; amplicon input)	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_consensus	211_0	2.70		0	0	9720bp, 5976bp called, 38.51% N, ref=HXB2	(see ease_of_use_notes.md)
assembly_pacbio	minimap2_bestref	211_0	3.02		0	0	9747bp, 5958bp called, 38.87% N, ref=D:KU168271	(see ease_of_use_notes.md)
assembly_pacbio	hifiasm	211_0	11.46		0	0	5977bp, 5977bp called, 0.00% N	(see ease_of_use_notes.md)
