stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
download_qc_illumina	fastp	SRR908437	5.47		0	1	128126 reads passed	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_fastp	SRR908437	372.93		0	1	Kraken2 filtering for SRR908437: 59756/64027 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	trimmomatic	SRR908437	15.07		0	1	14.20% surviving	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_trimmomatic	SRR908437	204.26		0	1	Kraken2 filtering for SRR908437: 6561/8185 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	fastp	SRR908434	10.64		0	1	347052 reads passed	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_fastp	SRR908434	221.19		0	1	Kraken2 filtering for SRR908434: 131329/173416 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	trimmomatic	SRR908434	22.69		0	1	13.01% surviving	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_trimmomatic	SRR908434	204.91		0	1	Kraken2 filtering for SRR908434: 14383/19907 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	fastp	SRR908441	22.56		0	1	735382 reads passed	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_fastp	SRR908441	244.77		0	1	Kraken2 filtering for SRR908441: 281679/367597 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	trimmomatic	SRR908441	42.05		0	1	30.28% surviving	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_trimmomatic	SRR908441	217.89		0	1	Kraken2 filtering for SRR908441: 35716/104746 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	fastp	SRR908446	84.70		0	1	2796110 reads passed	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_fastp	SRR908446	360.44		0	1	Kraken2 filtering for SRR908446: 770792/1396439 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
download_qc_illumina	trimmomatic	SRR908446	221.58		0	1	66.53% surviving	(see ease_of_use_notes.md)
download_qc_illumina	kraken2_after_trimmomatic	SRR908446	272.20		0	1	Kraken2 filtering for SRR908446: 214184/569158 read pairs retained (human/bacterial reads discarded)	(see ease_of_use_notes.md)
