name	strand_tag	action
m64407e_230623_212655/133466/ccs/1	1	revcomp
m64407e_230623_212655/3080776/ccs/1	1	revcomp
m64407e_230623_212655/3148025/ccs/1	1	revcomp
m64407e_230623_212655/5507187/ccs/0	0	kept
m64407e_230623_212655/8259383/ccs/0	0	kept
m64407e_230623_212655/9570259/ccs/0	0	kept
m64407e_230623_212655/10551620/ccs/1	1	revcomp
m64407e_230623_212655/12126736/ccs/fwd/0	0	kept
m64407e_230623_212655/12126736/ccs/rev/1	1	revcomp
m64407e_230623_212655/13174520/ccs/fwd/1	1	revcomp
m64407e_230623_212655/13174520/ccs/rev/0	0	kept
m64407e_230623_212655/13502108/ccs/1	1	revcomp
m64407e_230623_212655/16975146/ccs/0	0	kept
m64407e_230623_212655/19007467/ccs/0	0	kept
m64407e_230623_212655/21168500/ccs/0	0	kept
m64407e_230623_212655/21497669/ccs/1	1	revcomp
m64407e_230623_212655/21693390/ccs/1	1	revcomp
m64407e_230623_212655/22743844/ccs/0	0	kept
m64407e_230623_212655/25886952/ccs/0	0	kept
m64407e_230623_212655/26084754/ccs/0	0	kept
m64407e_230623_212655/27854001/ccs/1	1	revcomp
m64407e_230623_212655/28574507/ccs/0	0	kept
m64407e_230623_212655/34212379/ccs/fwd/0	0	kept
m64407e_230623_212655/34212379/ccs/rev/1	1	revcomp
m64407e_230623_212655/37292843/ccs/0	0	kept
m64407e_230623_212655/40176351/ccs/0	0	kept
m64407e_230623_212655/45090758/ccs/0	0	kept
m64407e_230623_212655/45483895/ccs/0	0	kept
m64407e_230623_212655/48039998/ccs/1	1	revcomp
m64407e_230623_212655/52036167/ccs/1	1	revcomp
m64407e_230623_212655/56952615/ccs/1	1	revcomp
m64407e_230623_212655/59834955/ccs/0	0	kept
m64407e_230623_212655/61145261/ccs/0	0	kept
m64407e_230623_212655/63243475/ccs/1	1	revcomp
m64407e_230623_212655/63767932/ccs/1	1	revcomp
m64407e_230623_212655/69600598/ccs/1	1	revcomp
m64407e_230623_212655/71370863/ccs/0	0	kept
m64407e_230623_212655/71631435/ccs/0	0	kept
m64407e_230623_212655/72156453/ccs/0	0	kept
m64407e_230623_212655/73925029/ccs/0	0	kept
m64407e_230623_212655/76351186/ccs/1	1	revcomp
m64407e_230623_212655/77464074/ccs/1	1	revcomp
m64407e_230623_212655/79758688/ccs/1	1	revcomp
m64407e_230623_212655/81724198/ccs/1	1	revcomp
m64407e_230623_212655/91097093/ccs/0	0	kept
m64407e_230623_212655/95290772/ccs/0	0	kept
m64407e_230623_212655/95946842/ccs/0	0	kept
m64407e_230623_212655/97847059/ccs/0	0	kept
m64407e_230623_212655/101450250/ccs/0	0	kept
m64407e_230623_212655/105712248/ccs/1	1	revcomp
m64407e_230623_212655/108201752/ccs/0	0	kept
m64407e_230623_212655/109773885/ccs/0	0	kept
m64407e_230623_212655/113836421/ccs/0	0	kept
m64407e_230623_212655/122750542/ccs/1	1	revcomp
m64407e_230623_212655/126091317/ccs/0	0	kept
m64407e_230623_212655/126288373/ccs/1	1	revcomp
m64407e_230623_212655/131531201/ccs/1	1	revcomp
m64407e_230623_212655/136775931/ccs/fwd/1	1	revcomp
m64407e_230623_212655/136775931/ccs/rev/0	0	kept
m64407e_230623_212655/136971876/ccs/0	0	kept
m64407e_230623_212655/138019875/ccs/0	0	kept
m64407e_230623_212655/138151791/ccs/0	0	kept
m64407e_230623_212655/138215437/ccs/0	0	kept
m64407e_230623_212655/142607394/ccs/1	1	revcomp
m64407e_230623_212655/144835823/ccs/1	1	revcomp
m64407e_230623_212655/147786274/ccs/1	1	revcomp
m64407e_230623_212655/150208837/ccs/0	0	kept
m64407e_230623_212655/153355136/ccs/0	0	kept
m64407e_230623_212655/156370983/ccs/1	1	revcomp
m64407e_230623_212655/157024955/ccs/0	0	kept
m64407e_230623_212655/159975148/ccs/rev/0	0	kept
m64407e_230623_212655/160500297/ccs/1	1	revcomp
m64407e_230623_212655/165021918/ccs/0	0	kept
m64407e_230623_212655/167313637/ccs/1	1	revcomp
m64407e_230623_212655/171705121/ccs/0	0	kept
