stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
download_qc_pacbio	strip_hostN	124_4	1.29		0	1	41/41 reads kept a proviral core (52.7% of bases were host-N flank)	(see ease_of_use_notes.md)
download_qc_pacbio	orient_fwd	124_4	0.83		0	1	41 reads all forward (25 reverse-complemented, 0 untagged)	(see ease_of_use_notes.md)
download_qc_pacbio	nanofilt	124_4	NA	NA	NA	NA	not_applicable: FASTA input: NanoFilt requires FASTQ (rejects records not starting with '@')	(see ease_of_use_notes.md)
download_qc_pacbio	chopper	124_4	NA	NA	NA	NA	not_applicable: FASTA input: chopper requires FASTQ (fails to parse the record)	(see ease_of_use_notes.md)
download_qc_pacbio	fastp	124_4	NA	NA	NA	NA	not_applicable: FASTA input: fastp exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	seqkit	124_4	0.27		0	1	41 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_seqkit	124_4	203.86		0	1	41/41 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	awk	124_4	0.21		0	1	41 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_awk	124_4	203.67		0	1	41/41 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_fastp	124_4	NA	NA	NA	NA	not_applicable: FASTA input: fastp --dedup exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_exact	124_4	0.18		0	1	27/41 reads kept (14 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_bothstrands	124_4	0.19		0	1	27/41 reads kept (14 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_exact	124_4	0.20		0	1	27/41 reads kept (14 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_bothstrands	124_4	0.47		0	1	27/41 reads kept (14 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	strip_hostN	128_5	0.79		0	1	75/75 reads kept a proviral core (0.2% of bases were host-N flank)	(see ease_of_use_notes.md)
download_qc_pacbio	orient_fwd	128_5	0.79		0	1	75 reads all forward (32 reverse-complemented, 0 untagged)	(see ease_of_use_notes.md)
download_qc_pacbio	nanofilt	128_5	NA	NA	NA	NA	not_applicable: FASTA input: NanoFilt requires FASTQ (rejects records not starting with '@')	(see ease_of_use_notes.md)
download_qc_pacbio	chopper	128_5	NA	NA	NA	NA	not_applicable: FASTA input: chopper requires FASTQ (fails to parse the record)	(see ease_of_use_notes.md)
download_qc_pacbio	fastp	128_5	NA	NA	NA	NA	not_applicable: FASTA input: fastp exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	seqkit	128_5	0.27		0	1	75 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_seqkit	128_5	204.64		0	1	75/75 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	awk	128_5	0.20		0	1	75 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_awk	128_5	204.19		0	1	75/75 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_fastp	128_5	NA	NA	NA	NA	not_applicable: FASTA input: fastp --dedup exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_exact	128_5	0.20		0	1	60/75 reads kept (15 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_bothstrands	128_5	0.21		0	1	60/75 reads kept (15 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_exact	128_5	0.22		0	1	60/75 reads kept (15 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_bothstrands	128_5	1.10		0	1	60/75 reads kept (15 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	strip_hostN	203_3	1.07		0	1	19/19 reads kept a proviral core (78.3% of bases were host-N flank)	(see ease_of_use_notes.md)
download_qc_pacbio	orient_fwd	203_3	0.71		0	1	19 reads all forward (10 reverse-complemented, 0 untagged)	(see ease_of_use_notes.md)
