stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
motif_mapping_illumina	fimo	positive_control	0.40		0	1	4 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	fimo	all_subset	0.40		0	1	16 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	moods	positive_control	1.55		0	1	2 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	moods	all_subset	2.19		0	1	10 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	tfbstools	positive_control	63.79		0	1	14 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	tfbstools	all_subset	61.73		0	1	70 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	gquad	positive_control	4.17		0	1	3 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	gquad	all_subset	3.56		0	1	15 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	pqsfinder	positive_control	18.61		0	1	1 hits	(see ease_of_use_notes.md)
motif_mapping_illumina	pqsfinder	all_subset	19.63		0	1	5 hits	(see ease_of_use_notes.md)
