Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR908430_1	25.521261230453142	14.069292052251932
SRR908430_2	27.588512582694918	13.301944364512394
SRR908431_1	27.87011944983068	28.05124110615971
SRR908431_2	28.68015213432501	27.1851610035831
SRR908432_1	24.76046603571899	27.46477154585434
SRR908432_2	25.777905767850957	27.031584804541257
SRR908433_1	25.233506300963676	30.198197495220633
SRR908433_2	26.034879637938435	30.274667394951425
SRR908434_1	13.806818181818182	34.801417641764175
SRR908434_2	14.807605760576056	38.07999549954995
SRR908435_1	14.09448428156713	22.771671256895683
SRR908435_2	15.110951211241513	20.18584224499417
SRR908436_1	16.730504812414065	33.131179205133236
SRR908436_2	18.05228180449159	35.55252733582138
SRR908437_1	12.637954852519243	35.40600853156832
SRR908437_2	13.679352693819927	38.79738284274285
SRR908438_1	16.494083914053427	28.878665795586528
SRR908438_2	18.330974157955865	31.244011324041814
SRR908439_1	12.62282515945215	31.713405550814983
SRR908439_2	13.846665606062796	36.316040669337454
SRR908440_1	24.226692846202084	21.37401441245104
SRR908440_2	24.632235780297503	20.065894301839077
SRR908441_1	10.242211047283774	26.230472943777457
SRR908441_2	10.814006197761065	26.01469118555375
SRR908442_1	27.896823271013016	14.666255959715006
SRR908442_2	29.937858252531203	13.416724701344616
SRR908443_1	9.013116921954177	7.275625461259674
SRR908443_2	9.677879563555752	6.356261197121466
SRR908444_1	1.4002049184711114	0.7745404842321866
SRR908444_2	1.5018085445440992	0.7698346320772274
SRR908445_1	7.280460528728046	17.591024089759102
SRR908445_2	8.087119128808713	19.3290067099329
SRR908446_1	16.00239167761939	10.380579468146237
SRR908446_2	16.47333026040657	9.26432626537348
SRR908447_1	4.204884005311212	2.120460934780213
SRR908447_2	4.160973792075519	1.6817086846004612
SRR908448_1	12.465330646939101	3.6753359274468487
SRR908448_2	13.270223575672752	3.2123943257611884
SRR908449_1	20.62677126545365	22.223615984654305
SRR908449_2	21.837087426277062	22.33451260436104
SRR908450_1	22.649126808130703	16.49141365372204
SRR908450_2	25.16122144961011	15.185629091191409
SRR908451_1	10.060606274656617	25.88163410904185
SRR908451_2	11.137815701828432	28.018746975866982
SRR908452_1	3.044807451848623	4.30121711997981
SRR908452_2	3.208849070239638	4.488775194154154
SRR908453_1	4.236947252688316	13.35889803616601
SRR908453_2	4.703994708285288	15.921625414532551
