Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR908430_1	(1, 0.03280689389611057)	(2, 0.0009730858359015849)	(3, 0.00013901226227165499)	(4, 0.001529134884988205)	(5, 0.005977527277681164)	(6, 0.03447504104337043)	(7, 0.0029192575077047547)	(8, 0.0)	(9, 0.0)	(10, 0.001529134884988205)	(15, 0.0008896784785385919)	(20, 0.00013901226227165499)	(25, 0.0016125422423511977)	(30, 0.0)	(35, 0.0010008882883559159)	(40, 0.000639456406449613)	(45, 0.005004441441779579)	(50, 0.0009730858359015849)	(55, 0.0005838515015409509)	(60, 0.0015569373374425357)	(65, 0.0025022207208897896)	(70, 0.0030026648650677474)	(75, 0.007451057257760707)	(80, 0.00011120980981732398)	(85, 0.00038923433436063393)	(90, 0.0018349618619858457)	(95, 0.0003614318819063029)	(100, 0.00038923433436063393)	(105, 0.004531799750055952)	(110, 0.0013345177178078877)	(115, 0.0005004441441779579)	(120, 0.001278912812899226)	(125, 0.0018627643144401768)	(130, 2.7802452454330996e-05)	(135, 0.0003614318819063029)	(140, 0.004031355605877995)	(145, 0.006033132182589826)	(150, 0.00027802452454330997)	(155, 0.008285130831390637)	(160, 0.0033640967469740508)	(165, 0.00011120980981732398)	(170, 5.560490490866199e-05)	(175, 0.007200835185671728)	(180, 0.0011955054555362328)	(185, 0.00041703678681496493)	(190, 0.0003614318819063029)	(195, 0.0083407357362993)	(200, 0.0006672588589039438)	(205, 0.003169479579793734)	(210, 0.01893347012139941)	(215, 0.0032528869371567268)	(220, 0.0011677030030819019)	(225, 0.005143453704051234)	(230, 0.00784029159212134)	(235, 0.0031972820322480645)	(240, 0.0003336294294519719)	(245, 0.008007106306847327)	(250, 0.005769008884273681)
SRR908430_2	(1, 0.010008882883559158)	(2, 0.006394564064496129)	(3, 0.0034753065567913748)	(4, 0.02251998648800811)	(5, 0.015152336587610395)	(6, 0.011399005506275709)	(7, 0.0033362942945197194)	(8, 0.0018071594095315148)	(9, 0.014735299800795429)	(10, 0.0021407888389834867)	(15, 0.003975750700969332)	(20, 0.003808935986243347)	(25, 0.011343400601367046)	(30, 0.014763102253249758)	(35, 0.010592734385100111)	(40, 0.011454610411184372)	(45, 0.008702167618205602)	(50, 0.005421478228594544)	(55, 0.011093178529278068)	(60, 0.007617871972486694)	(65, 0.009425031382018207)	(70, 0.007395452352852046)	(75, 0.006394564064496129)	(80, 0.007173032733217398)	(85, 0.005921922372772503)	(90, 0.007339847447943383)	(95, 0.0022519986488008107)	(100, 0.011788239840636342)	(105, 0.011093178529278068)	(110, 0.008785574975568596)	(115, 0.004364985035329966)	(120, 0.00558829294332053)	(125, 0.0038367384386976777)	(130, 0.0023632084586181347)	(135, 0.0033362942945197194)	(140, 0.0056160953957748614)	(145, 0.0036699237239716915)	(150, 0.009925475526196166)	(155, 0.004253775225512643)	(160, 0.0034475041043370435)	(165, 0.0006672588589039438)	(170, 0.0026968378880701067)	(175, 0.0005004441441779579)	(180, 0.005560490490866199)	(185, 0.00044483923926929593)	(190, 0.007395452352852046)	(195, 0.0028358501503417616)	(200, 0.0005838515015409509)	(205, 0.000639456406449613)	(210, 0.010509327027737117)	(215, 0.000305826976997641)	(220, 0.005894119920318171)	(225, 0.004559602202510283)	(230, 0.004031355605877995)	(235, 0.008229525926481974)	(240, 0.0040035531534236635)	(245, 0.014985521872884407)	(250, 0.023215047799366385)
SRR908431_1	(1, 0.025565488949809045)	(2, 0.0005899728219186703)	(3, 0.00019665760730622344)	(4, 0.002163233680368458)	(5, 0.007079673863024043)	(6, 0.03382510845667043)	(7, 0.0025565488949809046)	(8, 0.00019665760730622344)	(9, 0.0)	(10, 0.0017699184657560107)	(15, 0.0007079673863024043)	(20, 0.0002359891287674681)	(25, 0.001376603251143564)	(30, 0.0)	(35, 0.0010226195579923617)	(40, 0.0008259619506861384)	(45, 0.004011815189046958)	(50, 0.0009439565150698724)	(55, 0.0011799456438373406)	(60, 0.0012192771652985853)	(65, 0.0024385543305971706)	(70, 0.003618499974434511)	(75, 0.007551652120558979)	(80, 7.866304292248936e-05)	(85, 0.00035398369315120217)	(90, 0.0019272445516009895)	(95, 0.00019665760730622344)	(100, 0.0006686358648411596)	(105, 0.004719782575349362)	(110, 0.0010619510794536067)	(115, 0.00035398369315120217)	(120, 0.0012192771652985853)	(125, 0.0015732608584497875)	(130, 0.0)	(135, 0.00011799456438373405)	(140, 0.004483793446581894)	(145, 0.005427749961651767)	(150, 0.00031465217168995745)	(155, 0.008574271678551341)	(160, 0.0033038478027445535)	(165, 0.00011799456438373405)	(170, 7.866304292248936e-05)	(175, 0.007040342341562798)	(180, 0.0009046249936086277)	(185, 0.0005506413004574256)	(190, 0.0005506413004574256)	(195, 0.008849592328780053)	(200, 0.00043264673607369155)	(205, 0.002163233680368458)	(210, 0.02269428788313818)	(215, 0.0027925380237483724)	(220, 0.0017699184657560107)	(225, 0.006725690169872842)	(230, 0.0072763314703302665)	(235, 0.002241896723290947)	(240, 0.0002753206502287128)	(245, 0.007512320599097734)	(250, 0.004916440182655585)
SRR908431_2	(1, 0.006686358648411597)	(2, 0.0060963858264929255)	(3, 0.0035398369315120214)	(4, 0.02064904876715346)	(5, 0.013569374904129418)	(6, 0.013569374904129418)	(7, 0.0035398369315120214)	(8, 0.002359891287674681)	(9, 0.010816168401842288)	(10, 0.0018485815086785003)	(15, 0.004051146710508202)	(20, 0.004995103225578075)	(25, 0.009203576021931255)	(30, 0.014159347726048085)	(35, 0.009714885800927437)	(40, 0.00983288036531117)	(45, 0.010344190144307352)	(50, 0.005309755397268033)	(55, 0.011012826009148512)	(60, 0.0060177227835704365)	(65, 0.0072763314703302665)	(70, 0.008692266242935075)	(75, 0.00696167929864031)	(80, 0.005781733654802969)	(85, 0.007708978206403958)	(90, 0.007590983642020224)	(95, 0.002989195631054596)	(100, 0.011524135788144693)	(105, 0.011288146659377225)	(110, 0.00881026080731881)	(115, 0.005113097789961809)	(120, 0.007551652120558979)	(125, 0.004051146710508202)	(130, 0.0035791684529732663)	(135, 0.004719782575349362)	(140, 0.006135717347954171)	(145, 0.0035005054100507773)	(150, 0.009164244500470013)	(155, 0.004011815189046958)	(160, 0.0036971630173570007)	(165, 0.0012192771652985853)	(170, 0.0020845706374459684)	(175, 0.0011406141223760959)	(180, 0.004995103225578075)	(185, 0.0005899728219186703)	(190, 0.007944967335171426)	(195, 0.0029105325881321068)	(200, 0.0009046249936086277)	(205, 0.0010226195579923617)	(210, 0.010462184708691088)	(215, 0.0004719782575349362)	(220, 0.004247804317814427)	(225, 0.004483793446581894)	(230, 0.003972483667585713)	(235, 0.010304858622846108)	(240, 0.00444446192512065)	(245, 0.015103304241117959)	(250, 0.021927323214643912)
SRR908432_1	(1, 0.028797766464756906)	(2, 0.0007321466050361925)	(3, 0.0)	(4, 0.0007321466050361925)	(5, 0.00683336831367113)	(6, 0.03270254835828326)	(7, 0.002684537551799372)	(8, 0.0)	(9, 0.0)	(10, 0.0016595323047487029)	(15, 0.0011226247943888284)	(20, 0.00014642932100723848)	(25, 0.0012202443417269875)	(30, 0.0)	(35, 0.0011714345680579078)	(40, 0.0008297661523743514)	(45, 0.0044904991775553136)	(50, 0.0008297661523743514)	(55, 0.0009761954733815899)	(60, 0.0011714345680579078)	(65, 0.002586918004461213)	(70, 0.0033190646094974057)	(75, 0.007223846503023766)	(80, 0.00014642932100723848)	(85, 0.00029285864201447696)	(90, 0.0015619127574105437)	(95, 0.00019523909467631797)	(100, 0.0008785759260434309)	(105, 0.004685738272231631)	(110, 0.0009761954733815899)	(115, 0.00039047818935263593)	(120, 0.0015131029837414643)	(125, 0.0016107225310796234)	(130, 9.761954733815898e-05)	(135, 0.00029285864201447696)	(140, 0.003807162346188201)	(145, 0.006540509671656652)	(150, 0.0007809563787052719)	(155, 0.009029808128779708)	(160, 0.003172635288490167)	(165, 0.00019523909467631797)	(170, 0.0)	(175, 0.006686938992663891)	(180, 0.0007809563787052719)	(185, 0.00029285864201447696)	(190, 0.0008297661523743514)	(195, 0.007516705145038243)	(200, 0.0007809563787052719)	(205, 0.002684537551799372)	(210, 0.02020724629899891)	(215, 0.0023916789097848954)	(220, 0.0017083420784177825)	(225, 0.006247651029642175)	(230, 0.006247651029642175)	(235, 0.002538108230792134)	(240, 0.0003416684156835565)	(245, 0.006491699897987573)	(250, 0.004514904064389854)
SRR908432_2	(1, 0.007077417182016527)	(2, 0.00585717284028954)	(3, 0.003416684156835565)	(4, 0.022940593624467362)	(5, 0.012934590022306068)	(6, 0.010982199075542886)	(7, 0.004636928498562552)	(8, 0.002196439815108577)	(9, 0.010982199075542886)	(10, 0.0020012007204322593)	(15, 0.0030750157411520078)	(20, 0.004100020988202678)	(25, 0.009957193828492217)	(30, 0.01532626893209096)	(35, 0.010640530659859329)	(40, 0.010054813375830376)	(45, 0.008151232202736275)	(50, 0.00488097736690795)	(55, 0.010152432923168536)	(60, 0.005661933745613222)	(65, 0.0067845585400020504)	(70, 0.007028607408347447)	(75, 0.005564314198275063)	(80, 0.00585717284028954)	(85, 0.006198841255973095)	(90, 0.007370275824031004)	(95, 0.002635727778130293)	(100, 0.009957193828492217)	(105, 0.008297661523743515)	(110, 0.006930987861009288)	(115, 0.004783357819569791)	(120, 0.005661933745613222)	(125, 0.0033678743831664854)	(130, 0.002538108230792134)	(135, 0.0033678743831664854)	(140, 0.005759553292951381)	(145, 0.00385597211985728)	(150, 0.009029808128779708)	(155, 0.0035631134778428032)	(160, 0.0029773961938138493)	(165, 0.0005857172840289539)	(170, 0.0015619127574105437)	(175, 0.0005857172840289539)	(180, 0.004539308951224393)	(185, 0.0003416684156835565)	(190, 0.0071262269556856064)	(195, 0.002586918004461213)	(200, 0.0003416684156835565)	(205, 0.0009273856997125105)	(210, 0.010103623149499455)	(215, 0.00024404886834539748)	(220, 0.004978596914246109)	(225, 0.003172635288490167)	(230, 0.0035631134778428032)	(235, 0.008932188581441548)	(240, 0.00385597211985728)	(245, 0.013227448664320542)	(250, 0.021354275980222277)
SRR908433_1	(1, 0.025359915727049275)	(2, 0.0007803050992938238)	(3, 0.0)	(4, 0.0015606101985876477)	(5, 0.004681830595762944)	(6, 0.0358940345675159)	(7, 0.0015606101985876477)	(8, 0.0)	(9, 0.0)	(10, 0.0012484881588701183)	(15, 0.0010924271390113534)	(20, 7.80305099293824e-05)	(25, 0.001170457648940736)	(30, 7.80305099293824e-05)	(35, 0.0015606101985876477)	(40, 0.0012484881588701183)	(45, 0.004603800085833561)	(50, 0.0014825796886582653)	(55, 0.001014396629081971)	(60, 0.0010924271390113534)	(65, 0.002340915297881472)	(70, 0.003043189887245913)	(75, 0.007022745893644415)	(80, 0.00023409152978814718)	(85, 0.00023409152978814718)	(90, 0.0019507627482345598)	(95, 0.00046818305957629436)	(100, 0.001170457648940736)	(105, 0.004291678046116031)	(110, 0.0007022745893644415)	(115, 0.0005462135695056767)	(120, 0.001404549178728883)	(125, 0.0014825796886582653)	(130, 0.0)	(135, 0.00023409152978814718)	(140, 0.003745464476610355)	(145, 0.005462135695056767)	(150, 0.00023409152978814718)	(155, 0.008661386602161446)	(160, 0.003199250907104678)	(165, 0.00023409152978814718)	(170, 7.80305099293824e-05)	(175, 0.007022745893644415)	(180, 0.0012484881588701183)	(185, 0.0005462135695056767)	(190, 0.0008583356092232064)	(195, 0.007725020483008857)	(200, 0.0007803050992938238)	(205, 0.0024189458078108543)	(210, 0.020990207171003864)	(215, 0.003043189887245913)	(220, 0.0017947017283757951)	(225, 0.006008349264562444)	(230, 0.00655456283406812)	(235, 0.0031212203971752953)	(240, 0.0003901525496469119)	(245, 0.006944715383715033)	(250, 0.004681830595762944)
SRR908433_2	(1, 0.007022745893644415)	(2, 0.007803050992938239)	(3, 0.0035113729468222075)	(4, 0.02184854278022707)	(5, 0.016776559634817213)	(6, 0.014825796886582655)	(7, 0.0027310678475283836)	(8, 0.0019507627482345598)	(9, 0.010924271390113535)	(10, 0.002028793258163942)	(15, 0.004135617026257267)	(20, 0.00491592212555109)	(25, 0.009207600171667121)	(30, 0.014591705356794507)	(35, 0.009363661191525888)	(40, 0.010378057820607859)	(45, 0.011392454449689829)	(50, 0.0064765323241387385)	(55, 0.012328820568842418)	(60, 0.005852288244703679)	(65, 0.008583356092232063)	(70, 0.008271234052514533)	(75, 0.00522804416526862)	(80, 0.005930318754633061)	(85, 0.005852288244703679)	(90, 0.0064765323241387385)	(95, 0.003043189887245913)	(100, 0.008115173032655769)	(105, 0.007959112012797004)	(110, 0.006086379774491826)	(115, 0.0034333424368928256)	(120, 0.004447739065974796)	(125, 0.0027310678475283836)	(130, 0.0022628847879520896)	(135, 0.00327728141703406)	(140, 0.004993952635480473)	(145, 0.0034333424368928256)	(150, 0.008973508641878975)	(155, 0.004291678046116031)	(160, 0.0035894034567515902)	(165, 0.0013265186687995006)	(170, 0.0017947017283757951)	(175, 0.001170457648940736)	(180, 0.004993952635480473)	(185, 0.0005462135695056767)	(190, 0.007256837423432562)	(195, 0.0024969763177402366)	(200, 0.0009363661191525887)	(205, 0.0006242440794350592)	(210, 0.009363661191525888)	(215, 0.0006242440794350592)	(220, 0.0048378916156217085)	(225, 0.003745464476610355)	(230, 0.0039015254964691196)	(235, 0.008583356092232063)	(240, 0.004681830595762944)	(245, 0.01724474269439351)	(250, 0.020483008856462877)
SRR908434_1	(1, 0.029815481548154815)	(2, 0.0011251125112511251)	(3, 0.0)	(4, 0.0)	(5, 0.003937893789378938)	(6, 0.04162916291629162)	(7, 0.0011251125112511251)	(8, 0.0)	(9, 0.0)	(10, 0.0016876687668766876)	(15, 0.0012376237623762376)	(20, 0.0)	(25, 0.002362736273627363)	(30, 0.0)	(35, 0.0009000900090009002)	(40, 0.0009000900090009002)	(45, 0.006188118811881188)	(50, 0.0018001800180018003)	(55, 0.0013501350135013501)	(60, 0.0020252025202520253)	(65, 0.0027002700270027003)	(70, 0.0019126912691269126)	(75, 0.008325832583258325)	(80, 0.00022502250225022504)	(85, 0.0004500450045004501)	(90, 0.0028127812781278128)	(95, 0.00011251125112511252)	(100, 0.00033753375337533753)	(105, 0.004500450045004501)	(110, 0.002137713771377138)	(115, 0.0009000900090009002)	(120, 0.0009000900090009002)	(125, 0.0025877587758775878)	(130, 0.0)	(135, 0.0004500450045004501)	(140, 0.004387938793879388)	(145, 0.008100810081008101)	(150, 0.0007875787578757877)	(155, 0.008100810081008101)	(160, 0.004162916291629163)	(165, 0.0004500450045004501)	(170, 0.0)	(175, 0.00765076507650765)	(180, 0.0015751575157515753)	(185, 0.0010126012601260127)	(190, 0.0009000900090009002)	(195, 0.010688568856885688)	(200, 0.00033753375337533753)	(205, 0.0030378037803780377)	(210, 0.022164716471647163)	(215, 0.003937893789378938)	(220, 0.0025877587758775878)	(225, 0.007425742574257425)	(230, 0.009900990099009901)	(235, 0.0046129612961296135)	(240, 0.0004500450045004501)	(245, 0.010913591359135912)	(250, 0.007031953195319532)
SRR908434_2	(1, 0.011813681368136814)	(2, 0.0073132313231323125)	(3, 0.004500450045004501)	(4, 0.023064806480648063)	(5, 0.011813681368136814)	(6, 0.009563456345634564)	(7, 0.0005625562556255626)	(8, 0.0016876687668766876)	(9, 0.01575157515751575)	(10, 0.002362736273627363)	(15, 0.004275427542754276)	(20, 0.0046129612961296135)	(25, 0.009563456345634564)	(30, 0.014176417641764177)	(35, 0.009000900090009001)	(40, 0.012601260126012603)	(45, 0.009675967596759675)	(50, 0.004387938793879388)	(55, 0.010913591359135912)	(60, 0.006863186318631863)	(65, 0.008213321332133214)	(70, 0.007088208820882088)	(75, 0.009450945094509451)	(80, 0.007988298829882988)	(85, 0.006188118811881188)	(90, 0.009338433843384338)	(95, 0.0033753375337533752)	(100, 0.011926192619261925)	(105, 0.01113861386138614)	(110, 0.009788478847884788)	(115, 0.004837983798379838)	(120, 0.006863186318631863)	(125, 0.004837983798379838)	(130, 0.004387938793879388)	(135, 0.0046129612961296135)	(140, 0.008550855085508551)	(145, 0.0050630063006300635)	(150, 0.013726372637263727)	(155, 0.005513051305130513)	(160, 0.004387938793879388)	(165, 0.0015751575157515753)	(170, 0.0027002700270027003)	(175, 0.0013501350135013501)	(180, 0.0073132313231323125)	(185, 0.0009000900090009002)	(190, 0.009450945094509451)	(195, 0.0054005400540054005)	(200, 0.0018001800180018003)	(205, 0.0009000900090009002)	(210, 0.01518901890189019)	(215, 0.00033753375337533753)	(220, 0.007425742574257425)	(225, 0.003937893789378938)	(230, 0.0054005400540054005)	(235, 0.010688568856885688)	(240, 0.004162916291629163)	(245, 0.01485148514851485)	(250, 0.02925292529252925)
