Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR908430_1	(1, 32.71936760541647)	(2, 33.093444042699005)	(3, 33.17484545311742)	(4, 33.21266651931367)	(5, 33.138627198305166)	(6, 34.46249101633255)	(7, 34.437131009326336)	(8, 34.29283072059786)	(9, 34.455138657781006)	(10, 35.8632833862275)	(15, 37.24835485938215)	(20, 37.39205739538285)	(25, 37.76092115085471)	(30, 37.54907841820727)	(35, 37.2627181623691)	(40, 36.85853973178975)	(45, 36.843743822642594)	(50, 37.087334731796695)	(55, 37.154478766572)	(60, 37.24354281091134)	(65, 37.01416868581977)	(70, 36.96907894645386)	(75, 31.673165489927868)	(80, 28.063091271281042)	(85, 27.723169590789603)	(90, 27.57310446354473)	(95, 27.439743605783462)	(100, 27.310562846748713)	(105, 27.25813214783676)	(110, 27.048977634317122)	(115, 26.757410813207834)	(120, 26.444359090915405)	(125, 26.148501517318845)	(130, 25.853853072379515)	(135, 25.55169629713037)	(140, 25.20721000999498)	(145, 24.861526271232385)	(150, 24.483840519572233)	(155, 24.09707726718574)	(160, 23.705752466425064)	(165, 23.29447440158696)	(170, 22.905170561095193)	(175, 22.490590955028146)	(180, 22.070764748158435)	(185, 21.65419115020136)	(190, 21.164611648393507)	(195, 20.59580377585107)	(200, 20.002105479724367)	(205, 19.397134123201006)	(210, 18.827795501841216)	(215, 18.3127603525907)	(220, 17.95280088856638)	(225, 17.76038456352235)	(230, 17.476370834671325)	(235, 17.238439392738833)	(240, 17.030219875695234)	(245, 16.87470880406361)	(250, 16.767597214750314)
SRR908430_1_paired	(1, 33.1109572342803)	(2, 33.42450479125046)	(3, 33.566010903057595)	(4, 33.53700944705922)	(5, 33.43050824501405)	(6, 35.42608945924898)	(7, 35.45144414722514)	(8, 35.53088409575729)	(9, 35.61733992482985)	(10, 36.427853587512274)	(15, 37.57265635052314)	(20, 37.744170927437104)	(25, 37.98587478413977)	(30, 37.653594961568416)	(35, 38.033341685572076)	(40, 38.01503741577219)	(45, 37.7848427183151)	(50, 37.596095208976564)	(55, 37.40949589327102)	(60, 37.31965349808378)	(65, 37.891944881123216)	(70, 37.60959395371341)	(75, 37.62532913964212)	(80, 37.85905929675843)	(85, 37.87315159221183)	(90, 37.84647069836749)	(95, 37.84299640791596)	(100, 37.86124785799355)	(105, 37.8595872224285)	(110, 37.87161573979132)	(115, 37.855460827566674)	(120, 37.83692033725189)	(125, 37.794698274630335)	(130, 37.77293447507144)	(135, 37.722468661995045)	(140, 37.63202664366899)	(145, 37.57862595327263)	(150, 37.498493326122095)	(155, 37.3959063369697)	(160, 37.33764597415517)	(165, 37.277643303859904)	(170, 37.25742459440856)	(175, 37.24822344226969)	(180, 37.28259428046461)	(185, 37.236763346662244)	(190, 37.02488744735725)	(195, 36.217057029019095)	(200, 35.262901199501094)	(205, 33.803717312880785)	(210, 31.39999541310518)	(215, 29.466370127175033)	(220, 27.987894041284232)	(225, 26.795974707914148)	(230, 26.377772720870343)	(235, 26.488539280689658)	(240, 26.6746375052336)	(245, 26.981862204129538)	(250, 28.435180451196466)
SRR908430_2	(1, 31.90761940110737)	(2, 32.074093535790794)	(3, 32.1478756841141)	(4, 32.14501759200179)	(5, 32.36526305985451)	(6, 33.728759273855545)	(7, 33.76638294263937)	(8, 33.89508049505047)	(9, 34.030788435847924)	(10, 35.51597570621705)	(15, 36.560810775118476)	(20, 36.74746392979324)	(25, 37.40568393337976)	(30, 37.39399189002462)	(35, 37.41571422415171)	(40, 36.95263296175356)	(45, 36.03049790021977)	(50, 35.77871889079336)	(55, 36.63686382775825)	(60, 36.68797391017862)	(65, 35.546550619230125)	(70, 29.517239327681096)	(75, 26.794504567247877)	(80, 26.707026096771994)	(85, 26.34017329268615)	(90, 26.032413767218408)	(95, 25.953213476960805)	(100, 25.834287096464777)	(105, 25.64898764320001)	(110, 25.3670346321249)	(115, 25.06662023657107)	(120, 24.72448436876617)	(125, 24.410261051127318)	(130, 24.077717029419166)	(135, 23.72419633535874)	(140, 23.312868226106225)	(145, 22.92164685046868)	(150, 22.503095942093058)	(155, 22.067917220978064)	(160, 21.574788458089888)	(165, 21.105624853168298)	(170, 20.573810645837067)	(175, 19.99135204716408)	(180, 19.298473506347996)	(185, 18.553192903145987)	(190, 17.7494412402118)	(195, 17.248402679600368)	(200, 16.829737781169676)	(205, 16.579616631983107)	(210, 16.374024724720968)	(215, 16.213754429278204)	(220, 16.095652391497453)	(225, 16.185917223758306)	(230, 16.42060717775915)	(235, 16.48642948394478)	(240, 16.258978176464943)	(245, 15.783403326007388)	(250, 15.658732541797512)
SRR908430_2_paired	(1, 31.980936579419634)	(2, 32.14321606338672)	(3, 32.314563369789724)	(4, 32.43650492669217)	(5, 32.67308773236718)	(6, 34.520184200724614)	(7, 34.708346595334035)	(8, 34.94132665154234)	(9, 35.13203873632885)	(10, 36.19184031422476)	(15, 37.25643111096062)	(20, 37.49183015609657)	(25, 37.99625774557275)	(30, 38.01559882165713)	(35, 37.93390647749975)	(40, 37.643495073307825)	(45, 36.739553719567944)	(50, 36.686624968076366)	(55, 37.39471346936509)	(60, 37.01398041864941)	(65, 36.858698756002305)	(70, 37.04017533208849)	(75, 37.02768956529278)	(80, 37.00191487524819)	(85, 36.89908369518942)	(90, 36.83494835292554)	(95, 36.87298971999526)	(100, 36.81902227946954)	(105, 36.86613101873812)	(110, 36.8443498721022)	(115, 36.80374510321549)	(120, 36.69352667772592)	(125, 36.640885363789074)	(130, 36.55245801804472)	(135, 36.431679046927925)	(140, 36.240240970584395)	(145, 36.021517291785514)	(150, 35.76961772115966)	(155, 35.50295241098018)	(160, 35.119749151710174)	(165, 34.83525067609369)	(170, 34.420833607487694)	(175, 33.9319512328171)	(180, 33.02459907779094)	(185, 31.711065203201592)	(190, 29.61143915330399)	(195, 28.03862479792182)	(200, 27.19738993051981)	(205, 27.047772164541065)	(210, 26.825676747370682)	(215, 26.657387585230783)	(220, 26.35838949283944)	(225, 25.89919389619876)	(230, 26.37216986120602)	(235, 25.65569484332401)	(240, 26.16958249281741)	(245, 28.643333333333334)	(250, 32.45)
SRR908431_1	(1, 32.7245397228701)	(2, 33.17130647514838)	(3, 33.22613264948928)	(4, 33.31944471758001)	(5, 33.27983787546854)	(6, 34.216958572108446)	(7, 34.16119434098069)	(8, 34.0947889667216)	(9, 34.304355179371406)	(10, 35.827064019917486)	(15, 37.377350943366544)	(20, 37.53393798992326)	(25, 37.84404107784102)	(30, 37.65427553304045)	(35, 37.22027539931328)	(40, 37.2694012562488)	(45, 37.13278242982274)	(50, 36.96287851672966)	(55, 36.91921777470118)	(60, 36.997739617461626)	(65, 36.73814960924133)	(70, 36.76157782331494)	(75, 31.711816368992608)	(80, 28.272585929541513)	(85, 27.856997667640776)	(90, 27.666047850729008)	(95, 27.51113908019304)	(100, 27.358300327631575)	(105, 27.29070478153306)	(110, 27.061068873427235)	(115, 26.742071355246235)	(120, 26.42416253357929)	(125, 26.103034426880733)	(130, 25.800371682877806)	(135, 25.491726221145413)	(140, 25.162787660915086)	(145, 24.858278695294768)	(150, 24.527435702795295)	(155, 24.183306522346204)	(160, 23.824808750476894)	(165, 23.460505646039906)	(170, 23.152834426094103)	(175, 22.803922925950545)	(180, 22.470660258250767)	(185, 22.12659676144252)	(190, 21.733610751664706)	(195, 21.219558778992248)	(200, 20.709043890044804)	(205, 20.15658350671979)	(210, 19.50561890115595)	(215, 18.90523817202821)	(220, 18.397520934202298)	(225, 18.032760404170716)	(230, 17.66801167359557)	(235, 17.3237538790713)	(240, 17.06545787790709)	(245, 16.855589599172465)	(250, 16.813614802811415)
SRR908431_1_paired	(1, 33.048978747701454)	(2, 33.524559060888485)	(3, 33.71630182130445)	(4, 33.75289426003606)	(5, 33.69313425320223)	(6, 34.95950508715376)	(7, 34.88851872333347)	(8, 34.834814744878)	(9, 34.950364845362216)	(10, 36.080648134410566)	(15, 37.73113931562833)	(20, 37.82264783767866)	(25, 37.948214887848835)	(30, 37.744997594673215)	(35, 37.98257464380932)	(40, 37.9440363631459)	(45, 37.74579337568507)	(50, 37.22627875962104)	(55, 36.934143919599975)	(60, 36.87633185254195)	(65, 37.36325884920022)	(70, 37.26897274776286)	(75, 37.25939729591529)	(80, 37.329282357909804)	(85, 37.298510538430506)	(90, 37.25947803054947)	(95, 37.238212298851906)	(100, 37.228350857942765)	(105, 37.19838946073678)	(110, 37.1730705085383)	(115, 37.12275997064135)	(120, 37.077659220953294)	(125, 37.00089563829914)	(130, 36.95037180880176)	(135, 36.88558728621543)	(140, 36.803298601694884)	(145, 36.7478062647386)	(150, 36.682006785772245)	(155, 36.618071117557434)	(160, 36.59488128663896)	(165, 36.60295135937729)	(170, 36.65951737349954)	(175, 36.730928650111196)	(180, 36.84222924711905)	(185, 36.8485054292514)	(190, 36.75029965472717)	(195, 36.28266118314013)	(200, 35.604663481716436)	(205, 34.45342243691831)	(210, 32.35737080757638)	(215, 30.634811439682494)	(220, 29.0055149897941)	(225, 26.938106936923806)	(230, 26.568136121553273)	(235, 26.360975797981524)	(240, 26.70582317403082)	(245, 26.473163881060316)	(250, 28.984)
SRR908431_2	(1, 32.235009773883085)	(2, 32.429917128484284)	(3, 32.48148468627212)	(4, 32.37275662834465)	(5, 32.567587286479004)	(6, 33.627127343667034)	(7, 33.59421865966041)	(8, 33.69944227902568)	(9, 33.75918489354924)	(10, 35.31484410951469)	(15, 36.494111284606824)	(20, 36.70696875897251)	(25, 37.21172511986281)	(30, 37.14282494719744)	(35, 37.21612435053825)	(40, 36.821737351965986)	(45, 36.09601217703904)	(50, 35.6808919602437)	(55, 36.41098844046584)	(60, 36.53237102210825)	(65, 35.34643164771543)	(70, 29.55373944440293)	(75, 27.17632675054769)	(80, 27.0983284103379)	(85, 26.78651164803008)	(90, 26.489885112625814)	(95, 26.33040562598083)	(100, 26.162561504666684)	(105, 25.954599624777284)	(110, 25.65099961061794)	(115, 25.33452166970175)	(120, 24.95861104665112)	(125, 24.61212158159914)	(130, 24.24219131638669)	(135, 23.861332394621023)	(140, 23.460674378266976)	(145, 23.047958890693767)	(150, 22.5946355737879)	(155, 22.084375159784305)	(160, 21.59329672879736)	(165, 21.14700313472226)	(170, 20.622278160386077)	(175, 20.043960054906805)	(180, 19.367762311749505)	(185, 18.559780766099372)	(190, 17.596211587852853)	(195, 16.94833607998458)	(200, 16.406540438703793)	(205, 16.12566893085125)	(210, 16.020642362408505)	(215, 15.990735853435018)	(220, 16.12974642968114)	(225, 16.37081522444533)	(230, 16.603386050682598)	(235, 16.541560832097666)	(240, 16.308422452005708)	(245, 15.948387210962483)	(250, 15.858628745835775)
SRR908431_2_paired	(1, 32.79403658794279)	(2, 33.04977452871331)	(3, 33.28448496783157)	(4, 33.247622772824755)	(5, 33.37756437059117)	(6, 34.52671711109013)	(7, 34.549803752309785)	(8, 34.62911209722016)	(9, 34.7247047292771)	(10, 35.94076781627799)	(15, 37.517544498545554)	(20, 37.66085251974841)	(25, 37.88824896705827)	(30, 37.888683274661346)	(35, 37.85955319368951)	(40, 37.67873556241936)	(45, 37.12391614176592)	(50, 36.679110427643124)	(55, 37.07236738105955)	(60, 36.8649593898316)	(65, 36.80933898156088)	(70, 36.91850340667917)	(75, 36.878867662770496)	(80, 36.816239380963864)	(85, 36.716366371038056)	(90, 36.60291860080219)	(95, 36.55389382306321)	(100, 36.44188201803614)	(105, 36.38487282089398)	(110, 36.26630338683189)	(115, 36.18626771560747)	(120, 36.003333853400655)	(125, 35.82951586003583)	(130, 35.63015989824106)	(135, 35.37332422863366)	(140, 35.085692271329734)	(145, 34.76997218301769)	(150, 34.37975786300145)	(155, 33.87280798493203)	(160, 33.42689975443237)	(165, 33.0776556207196)	(170, 32.58827260772104)	(175, 32.03238850240378)	(180, 31.294821457842215)	(185, 30.28475030682251)	(190, 28.854188097470256)	(195, 27.848692911020258)	(200, 27.131442415222807)	(205, 27.009985260050673)	(210, 26.7276234255519)	(215, 26.952493250453983)	(220, 26.71923835530338)	(225, 26.46978816722658)	(230, 26.568318422318423)	(235, 26.954004212004214)	(240, 31.029807692307692)	(245, 33.913333333333334)	(250, 31.5)
SRR908432_1	(1, 32.59865431453994)	(2, 32.950379984088016)	(3, 32.98759987699937)	(4, 33.01308834080936)	(5, 32.91889035860541)	(6, 34.447124372184284)	(7, 34.30623984146585)	(8, 34.030049737159366)	(9, 34.132477047203935)	(10, 35.475391088311525)	(15, 37.17323272011988)	(20, 37.28761207944279)	(25, 37.63719060704715)	(30, 37.60618615071482)	(35, 37.01057756605183)	(40, 36.509883002972515)	(45, 36.63233061788292)	(50, 36.87348067377012)	(55, 37.02740424742651)	(60, 37.235971826998636)	(65, 36.81999053090391)	(70, 37.02921069715)	(75, 30.280783104008748)	(80, 23.827939202545917)	(85, 23.320241413140568)	(90, 23.096829317102458)	(95, 22.877210228576168)	(100, 22.678128828516627)	(105, 22.648184032370644)	(110, 22.431245576614266)	(115, 22.079092333448852)	(120, 21.74156005798601)	(125, 21.463266740532127)	(130, 21.202700156679374)	(135, 20.945438482601755)	(140, 20.681239963490288)	(145, 20.43713740439386)	(150, 20.202350190602168)	(155, 19.96678690140914)	(160, 19.735710206611774)	(165, 19.49132991990316)	(170, 19.254409230904393)	(175, 19.01008605163098)	(180, 18.787647710577566)	(185, 18.58885184769398)	(190, 18.36889450743617)	(195, 18.117733078871716)	(200, 17.853108450436117)	(205, 17.611052485149628)	(210, 17.504620821273257)	(215, 17.319125133616758)	(220, 17.190195580763092)	(225, 17.157970880089028)	(230, 16.960232236903117)	(235, 16.775760578298197)	(240, 16.58812214157763)	(245, 16.471548782928295)	(250, 16.394680710865543)
SRR908432_1_paired	(1, 32.93119857625545)	(2, 33.2955043718243)	(3, 33.48078460705166)	(4, 33.504307343117276)	(5, 33.41763173505971)	(6, 35.332336024348095)	(7, 35.286244873745844)	(8, 35.2979159681205)	(9, 35.35935364060767)	(10, 36.29270588842176)	(15, 37.60101880271337)	(20, 37.76783162673132)	(25, 37.964042712336536)	(30, 37.683100771194965)	(35, 38.00228005468004)	(40, 37.978197621933916)	(45, 37.745221944236675)	(50, 37.45264196661774)	(55, 37.164402304108286)	(60, 37.09967878477003)	(65, 37.68734475428486)	(70, 37.45529254120423)	(75, 37.47089744446872)	(80, 37.64361653478554)	(85, 37.641168068867984)	(90, 37.565404440597874)	(95, 37.569012000758114)	(100, 37.55305559094904)	(105, 37.53575176002542)	(110, 37.52639432020901)	(115, 37.50033661140456)	(120, 37.440700754261876)	(125, 37.36132025870656)	(130, 37.31338020714946)	(135, 37.24821610334247)	(140, 37.13916952405947)	(145, 37.08852286301344)	(150, 37.00064580605069)	(155, 36.923262970211695)	(160, 36.858375232367266)	(165, 36.827865959336194)	(170, 36.84489518894477)	(175, 36.878418787402055)	(180, 36.979180340295116)	(185, 36.96593258850714)	(190, 36.79626517232713)	(195, 36.04939738887703)	(200, 35.06355996987877)	(205, 33.71445456481207)	(210, 31.47093970099761)	(215, 29.558943027580902)	(220, 27.98203431739457)	(225, 26.57640270619718)	(230, 26.544990913455678)	(235, 26.33007593678351)	(240, 26.568837616362487)	(245, 26.814525950190905)	(250, 28.467502389530182)
