Sample	Unique Reads	Duplicate Reads
SRR908430_1	169207.0	550154.0
SRR908430_1_paired	125936.0	169394.0
SRR908430_2	188540.0	530821.0
SRR908430_2_paired	138393.0	156937.0
SRR908431_1	91843.0	416655.0
SRR908431_1_paired	62361.0	160062.0
SRR908431_2	100950.0	407548.0
SRR908431_2_paired	66749.0	155674.0
SRR908432_1	71648.0	338106.0
SRR908432_1_paired	37516.0	40026.0
SRR908432_2	79653.0	330101.0
SRR908432_2_paired	40337.0	37205.0
SRR908433_1	40096.0	216214.0
SRR908433_1_paired	17031.0	15419.0
SRR908433_2	43552.0	212758.0
SRR908433_2_paired	17345.0	15105.0
SRR908434_1	34791.0	142969.0
SRR908434_1_paired	12999.0	8921.0
SRR908434_2	32216.0	145544.0
SRR908434_2_paired	12750.0	9170.0
SRR908435_1	86134.0	155684.0
SRR908435_1_paired	65633.0	61852.0
SRR908435_2	96470.0	145348.0
SRR908435_2_paired	69347.0	58138.0
SRR908436_1	46210.0	198158.0
SRR908436_1_paired	21344.0	25679.0
SRR908436_2	45556.0	198812.0
SRR908436_2_paired	21634.0	25389.0
SRR908437_1	15435.0	50438.0
SRR908437_1_paired	5230.0	3692.0
SRR908437_2	14505.0	51368.0
SRR908437_2_paired	5028.0	3894.0
SRR908438_1	94209.0	456831.0
SRR908438_1_paired	47980.0	46177.0
SRR908438_2	94737.0	456303.0
SRR908438_2_paired	52670.0	41487.0
SRR908439_1	60673.0	285042.0
SRR908439_1_paired	25441.0	16809.0
SRR908439_2	56134.0	289581.0
SRR908439_2_paired	25557.0	16693.0
SRR908440_1	64065.0	130489.0
SRR908440_1_paired	47222.0	39952.0
SRR908440_2	69431.0	125123.0
SRR908440_2_paired	48435.0	38739.0
SRR908441_1	101652.0	275581.0
SRR908441_1_paired	69968.0	37267.0
SRR908441_2	102911.0	274322.0
SRR908441_2_paired	74874.0	32361.0
SRR908442_1	25744.0	48924.0
SRR908442_1_paired	17032.0	8818.0
SRR908442_2	27657.0	47011.0
SRR908442_2_paired	18530.0	7320.0
SRR908443_1	189056.0	175435.0
SRR908443_1_paired	160435.0	94019.0
SRR908443_2	198495.0	165996.0
SRR908443_2_paired	166648.0	87806.0
SRR908444_1	404731.0	62772.0
SRR908444_1_paired	363677.0	45638.0
SRR908444_2	411507.0	55996.0
SRR908444_2_paired	368084.0	41231.0
SRR908445_1	42430.0	93935.0
SRR908445_1_paired	24233.0	31617.0
SRR908445_2	44400.0	91965.0
SRR908445_2_paired	26490.0	29360.0
SRR908446_1	336465.0	1123598.0
SRR908446_1_paired	275901.0	646617.0
SRR908446_2	400205.0	1059858.0
SRR908446_2_paired	308541.0	613977.0
SRR908447_1	388195.0	183426.0
SRR908447_1_paired	349161.0	148088.0
SRR908447_2	404693.0	166928.0
SRR908447_2_paired	359338.0	137911.0
SRR908448_1	237401.0	152713.0
SRR908448_1_paired	208070.0	62796.0
SRR908448_2	245613.0	144501.0
SRR908448_2_paired	213570.0	57296.0
SRR908449_1	118463.0	782376.0
SRR908449_1_paired	70733.0	342535.0
SRR908449_2	139061.0	761778.0
SRR908449_2_paired	83511.0	329757.0
SRR908450_1	69189.0	136894.0
SRR908450_1_paired	52512.0	46992.0
SRR908450_2	72016.0	134067.0
SRR908450_2_paired	54438.0	45066.0
SRR908451_1	89445.0	476833.0
SRR908451_1_paired	34781.0	98824.0
SRR908451_2	93137.0	473141.0
SRR908451_2_paired	41475.0	92130.0
SRR908452_1	131516.0	217176.0
SRR908452_1_paired	101537.0	137466.0
SRR908452_2	143405.0	205287.0
SRR908452_2_paired	105938.0	133065.0
SRR908453_1	73729.0	150017.0
SRR908453_1_paired	50733.0	52985.0
SRR908453_2	80707.0	143039.0
SRR908453_2_paired	57861.0	45857.0
