Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908430_1	(1.0, 13.778469899466481)	(2.0, 9.001919038452897)	(3.0, 6.630169102014667)	(4.0, 4.623815003255514)	(5.0, 2.987706586587235)	(6.0, 2.230365613115397)	(7.0, 1.5463357471425963)	(8.0, 1.2037168239718072)	(9.0, 0.8314346120137598)	('>10', 6.430666161065059)	('>50', 2.1940492553104844)	('>100', 6.91913587787234)	('>500', 2.454461840158843)	('>1k', 6.8651564079546565)	('>5k', 2.2635112088479685)	('>10k+', 30.03908682277029)
SRR908430_1_paired	(1.0, 23.791386217119502)	(2.0, 18.278667304030307)	(3.0, 13.24542952145592)	(4.0, 9.183420026423942)	(5.0, 5.7299481682683115)	(6.0, 4.0044249164023915)	(7.0, 2.719420596512987)	(8.0, 1.9748167632047082)	(9.0, 1.325583384335447)	('>10', 5.3976155077073065)	('>50', 0.6477003177922518)	('>100', 1.0262308746619526)	('>500', 0.45674214777927213)	('>1k', 1.8466061334233879)	('>5k', 0.0)	('>10k+', 10.3720081208823)
SRR908430_2	(1.0, 17.11627245189549)	(2.0, 8.781061233266875)	(3.0, 6.182879106770887)	(4.0, 4.187422612131017)	(5.0, 2.6546780630759104)	(6.0, 1.8959366795336596)	(7.0, 1.259881367115936)	(8.0, 0.9654733472413043)	(9.0, 0.6672726819056596)	('>10', 5.415353659763711)	('>50', 1.962256572632128)	('>100', 6.021471372529822)	('>500', 2.7205821739761826)	('>1k', 6.351238908769359)	('>5k', 1.2911237435819172)	('>10k+', 32.52709602581015)
SRR908430_2_paired	(1.0, 28.79636605947932)	(2.0, 18.10656206417174)	(3.0, 12.683365173759286)	(4.0, 8.510766092431597)	(5.0, 5.275656166323944)	(6.0, 3.5445586915662846)	(7.0, 2.425840442607992)	(8.0, 1.657097957117603)	(9.0, 1.147996869703085)	('>10', 4.424275936518763)	('>50', 0.3413115550380974)	('>100', 0.5080772603243036)	('>500', 0.7502765402125867)	('>1k', 0.5026649859133923)	('>5k', 0.0)	('>10k+', 11.325184204832011)
SRR908431_1	(1.0, 11.520792608820488)	(2.0, 6.803173267151494)	(3.0, 4.458424615239391)	(4.0, 2.5943071555836994)	(5.0, 1.5840770268516295)	(6.0, 0.987614503891854)	(7.0, 0.6786654028137771)	(8.0, 0.46253869238423756)	(9.0, 0.4123910025211505)	('>10', 4.660588635550189)	('>50', 2.6422916117664177)	('>100', 7.175052802567563)	('>500', 2.059595121318078)	('>1k', 5.959315474200489)	('>5k', 1.4985309676734224)	('>10k+', 46.50264111166612)
SRR908431_1_paired	(1.0, 17.276540645526765)	(2.0, 12.01404531006236)	(3.0, 7.7163782522490925)	(4.0, 4.233375145555991)	(5.0, 2.3671113149269636)	(6.0, 1.4512887606047937)	(7.0, 0.7679061967512353)	(8.0, 0.5503028014189181)	(9.0, 0.48151495124155325)	('>10', 2.583815522675263)	('>50', 0.9936022803397131)	('>100', 1.1559056392549332)	('>500', 1.0480031291727925)	('>1k', 2.7861327290792772)	('>5k', 3.310808684353687)	('>10k+', 41.26326863678666)
SRR908431_2	(1.0, 13.58153729042028)	(2.0, 6.692430753959118)	(3.0, 4.154194537227706)	(4.0, 2.50857909488706)	(5.0, 1.4344179415937046)	(6.0, 0.9237413466196803)	(7.0, 0.5819014969148458)	(8.0, 0.39044737331347307)	(9.0, 0.3928281499800187)	('>10', 4.382811445054845)	('>50', 2.1091697285038276)	('>100', 6.3880205924528495)	('>500', 1.6699164335261703)	('>1k', 6.623915880496406)	('>5k', 0.0)	('>10k+', 48.166087935050015)
SRR908431_2_paired	(1.0, 19.598692581252838)	(2.0, 11.949303804013073)	(3.0, 7.203841329358925)	(4.0, 4.19201251669117)	(5.0, 2.1917697360434847)	(6.0, 1.2894349954815825)	(7.0, 0.7679061967512353)	(8.0, 0.39564253696784957)	(9.0, 0.3682173156553054)	('>10', 1.9957468427275957)	('>50', 0.5224279863143649)	('>100', 1.0345153154125248)	('>500', 0.0)	('>1k', 5.840672951987879)	('>5k', 0.0)	('>10k+', 42.64981589134217)
SRR908432_1	(1.0, 12.297622475924578)	(2.0, 5.521849695182963)	(3.0, 3.0076582534886787)	(4.0, 1.6800324096897161)	(5.0, 1.0445291565183012)	(6.0, 0.7877897470189431)	(7.0, 0.5176276497605881)	(8.0, 0.4510023087022945)	(9.0, 0.4524666019123669)	('>10', 7.325126783387105)	('>50', 3.903073551447942)	('>100', 12.718850822688735)	('>500', 4.8595010664935545)	('>1k', 10.589036348638452)	('>5k', 3.410094837390239)	('>10k+', 31.433738291755542)
SRR908432_1_paired	(1.0, 33.464445074927134)	(2.0, 19.109643805937427)	(3.0, 9.737948466637434)	(4.0, 4.41051301230301)	(5.0, 2.276185808980939)	(6.0, 1.2148255139150397)	(7.0, 0.6048335095819041)	(8.0, 0.46426452761084314)	(9.0, 0.31337855613731913)	('>10', 2.825565499987104)	('>50', 0.6577080807820278)	('>100', 2.458022748961853)	('>500', 0.0)	('>1k', 4.8825152820407)	('>5k', 0.0)	('>10k+', 17.58015011219726)
