Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR908430_1	(251, 719361.0)																																								
SRR908430_1_paired	(50, 4899.0)	(55, 6202.0)	(60, 6443.0)	(65, 7775.0)	(70, 9007.0)	(75, 9001.0)	(80, 9128.0)	(85, 10389.0)	(90, 9927.0)	(95, 10289.0)	(100, 10525.0)	(105, 10252.0)	(110, 10312.0)	(115, 10162.0)	(120, 10175.0)	(125, 10389.0)	(130, 10021.0)	(135, 9749.0)	(140, 10294.0)	(145, 9667.0)	(150, 8833.0)	(155, 8225.0)	(160, 7659.0)	(165, 6982.0)	(170, 6573.0)	(175, 7233.0)	(180, 7890.0)	(185, 10001.0)	(190, 9510.0)	(195, 6222.0)	(200, 4391.0)	(205, 3881.0)	(210, 4016.0)	(215, 4046.0)	(220, 4318.0)	(225, 3426.0)	(230, 2647.0)	(235, 1757.0)	(240, 1142.0)	(245, 816.0)	(250, 1156.0)
SRR908430_2	(251, 719361.0)																																								
SRR908430_2_paired	(50, 6238.0)	(55, 7430.0)	(60, 8145.0)	(65, 9404.0)	(70, 9437.0)	(75, 9778.0)	(80, 9962.0)	(85, 11190.0)	(90, 10648.0)	(95, 10855.0)	(100, 10964.0)	(105, 10603.0)	(110, 10599.0)	(115, 10387.0)	(120, 10440.0)	(125, 10441.0)	(130, 9988.0)	(135, 9843.0)	(140, 10307.0)	(145, 9945.0)	(150, 9195.0)	(155, 8643.0)	(160, 8191.0)	(165, 7635.0)	(170, 7148.0)	(175, 7630.0)	(180, 8742.0)	(185, 10572.0)	(190, 9853.0)	(195, 7248.0)	(200, 5059.0)	(205, 3291.0)	(210, 2330.0)	(215, 1413.0)	(220, 965.0)	(225, 481.0)	(230, 203.0)	(235, 86.0)	(240, 29.0)	(245, 7.0)	(250, 5.0)
SRR908431_1	(251, 508498.0)																																								
SRR908431_1_paired	(50, 3706.0)	(55, 4227.0)	(60, 4085.0)	(65, 4007.0)	(70, 4679.0)	(75, 4737.0)	(80, 5114.0)	(85, 6976.0)	(90, 4913.0)	(95, 5080.0)	(100, 5343.0)	(105, 5238.0)	(110, 4860.0)	(115, 4770.0)	(120, 5105.0)	(125, 4817.0)	(130, 4840.0)	(135, 4693.0)	(140, 4840.0)	(145, 4605.0)	(150, 4519.0)	(155, 4552.0)	(160, 5091.0)	(165, 5716.0)	(170, 7351.0)	(175, 9354.0)	(180, 12304.0)	(185, 19488.0)	(190, 20420.0)	(195, 11850.0)	(200, 6264.0)	(205, 4236.0)	(210, 3114.0)	(215, 3167.0)	(220, 3985.0)	(225, 1623.0)	(230, 1010.0)	(235, 664.0)	(240, 421.0)	(245, 284.0)	(250, 375.0)
SRR908431_2	(251, 508498.0)																																								
SRR908431_2_paired	(50, 3861.0)	(55, 4240.0)	(60, 4711.0)	(65, 4954.0)	(70, 5127.0)	(75, 5247.0)	(80, 5539.0)	(85, 7564.0)	(90, 5552.0)	(95, 5845.0)	(100, 6067.0)	(105, 5984.0)	(110, 5657.0)	(115, 5591.0)	(120, 5835.0)	(125, 5643.0)	(130, 5764.0)	(135, 5731.0)	(140, 5836.0)	(145, 6089.0)	(150, 6065.0)	(155, 6551.0)	(160, 7058.0)	(165, 7331.0)	(170, 8473.0)	(175, 10472.0)	(180, 13810.0)	(185, 18592.0)	(190, 16418.0)	(195, 8644.0)	(200, 4018.0)	(205, 1790.0)	(210, 1009.0)	(215, 615.0)	(220, 404.0)	(225, 210.0)	(230, 82.0)	(235, 28.0)	(240, 9.0)	(245, 2.0)	(250, 5.0)
SRR908432_1	(251, 409754.0)																																								
SRR908432_1_paired	(50, 1404.0)	(55, 1571.0)	(60, 1667.0)	(65, 1823.0)	(70, 2110.0)	(75, 2055.0)	(80, 2194.0)	(85, 2706.0)	(90, 3186.0)	(95, 3083.0)	(100, 2455.0)	(105, 2344.0)	(110, 2252.0)	(115, 2301.0)	(120, 2486.0)	(125, 2486.0)	(130, 2181.0)	(135, 2153.0)	(140, 2200.0)	(145, 1978.0)	(150, 1843.0)	(155, 1874.0)	(160, 1938.0)	(165, 2015.0)	(170, 2224.0)	(175, 2489.0)	(180, 2954.0)	(185, 3844.0)	(190, 3365.0)	(195, 2138.0)	(200, 1267.0)	(205, 1148.0)	(210, 1110.0)	(215, 1097.0)	(220, 1132.0)	(225, 795.0)	(230, 615.0)	(235, 409.0)	(240, 264.0)	(245, 183.0)	(250, 203.0)
