Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR908430_1	SRR908430_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	719361.0	180.5 Mbp	0.0	251.0	43.0	23.52177978419963	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908430_1_paired	SRR908430_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	295330.0	39.8 Mbp	0.0	50-251	38.0	42.64234071786881	134.81242677682593	132	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908430_2	SRR908430_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	719361.0	180.5 Mbp	0.0	251.0	48.0	26.20926097182125	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908430_2_paired	SRR908430_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	295330.0	37.7 Mbp	0.0	50-251	38.0	46.86038623159791	127.70262079707446	127	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908431_1	SRR908431_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508498.0	127.6 Mbp	0.0	251.0	35.0	18.061427970218173	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908431_1_paired	SRR908431_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	222423.0	33.3 Mbp	0.0	50-251	19.0	28.037118463468257	149.9692073211853	167	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908431_2	SRR908431_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508498.0	127.6 Mbp	0.0	251.0	39.0	19.852458407095515	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908431_2_paired	SRR908431_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	222423.0	31.4 Mbp	0.0	50-251	19.0	30.009936022803394	141.37695292303403	152	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908432_1	SRR908432_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409754.0	102.8 Mbp	0.0	251.0	42.0	17.485613319211037	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908432_1_paired	SRR908432_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77542.0	10.7 Mbp	0.0	50-251	32.0	48.38152227180109	138.03320780996106	137	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908432_2	SRR908432_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409754.0	102.8 Mbp	0.0	251.0	47.0	19.439224510315945	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908432_2_paired	SRR908432_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77542.0	10.1 Mbp	0.0	50-251	32.0	52.019550695107164	130.50484898506616	127	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908433_1	SRR908433_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256310.0	64.3 Mbp	0.0	251.0	42.0	15.643166478092935	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908433_1_paired	SRR908433_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32450.0	4.7 Mbp	0.0	50-251	29.0	52.48382126348228	147.76906009244993	152	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908433_2	SRR908433_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256310.0	64.3 Mbp	0.0	251.0	47.0	16.99192384222231	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908433_2_paired	SRR908433_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32450.0	4.5 Mbp	0.0	50-244	29.0	53.45146379044684	138.73728813559322	142	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908434_1	SRR908434_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177760.0	44.6 Mbp	0.0	251.0	41.0	19.571894689468948	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908434_1_paired	SRR908434_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21920.0	3.2 Mbp	0.0	50-251	24.0	59.29744525547446	146.65127737226277	152	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908434_2	SRR908434_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177760.0	44.6 Mbp	0.0	251.0	47.0	18.1227497749775	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908434_2_paired	SRR908434_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21920.0	3 Mbp	0.0	50-243	25.0	58.16605839416058	137.6877281021898	142	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908435_1	SRR908435_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241818.0	60.6 Mbp	0.0	251.0	39.0	35.61935008973691	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908435_1_paired	SRR908435_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127485.0	19.5 Mbp	0.0	50-251	31.0	51.48291955916382	153.18946542730518	157	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908435_2	SRR908435_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	241818.0	60.6 Mbp	0.0	251.0	43.0	39.893639017773694	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908435_2_paired	SRR908435_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127485.0	18.2 Mbp	0.0	50-251	31.0	54.396203474918615	142.7970820096482	147	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908436_1	SRR908436_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	244368.0	61.3 Mbp	0.0	251.0	39.0	18.91000458325149	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908436_1_paired	SRR908436_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47023.0	7.4 Mbp	0.0	50-251	21.0	45.38842694000808	158.63011717670076	177	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR908436_2	SRR908436_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	244368.0	61.3 Mbp	0.0	251.0	44.0	18.64196621488902	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908436_2_paired	SRR908436_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47023.0	6.9 Mbp	0.0	50-242	22.0	46.00727303659911	147.22071114135636	157	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR908437_1	SRR908437_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65873.0	16.5 Mbp	0.0	251.0	41.0	23.431451429265405	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908437_1_paired	SRR908437_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8922.0	1.4 Mbp	0.0	50-251	23.0	58.61914368975566	166.47881640887692	182	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908437_2	SRR908437_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65873.0	16.5 Mbp	0.0	251.0	46.0	22.019643860155146	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908437_2_paired	SRR908437_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8922.0	1.3 Mbp	0.0	50-245	23.0	56.343869087648514	155.2692781887469	167	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908438_1	SRR908438_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	551040.0	138.3 Mbp	0.0	251.0	43.0	17.09658101045296	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908438_1_paired	SRR908438_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94157.0	12.9 Mbp	0.0	50-251	40.0	50.95744341897044	137.52689656637318	132	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908438_2	SRR908438_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	551040.0	138.3 Mbp	0.0	251.0	49.0	17.192399825783973	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908438_2_paired	SRR908438_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94157.0	12.2 Mbp	0.0	50-251	40.0	55.93848572065805	130.37290907739202	127	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908439_1	SRR908439_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345715.0	86.7 Mbp	0.0	251.0	42.0	17.55000506197301	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908439_1_paired	SRR908439_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42250.0	6.5 Mbp	0.0	50-251	29.0	60.215384615384615	154.55905325443786	162	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908439_2	SRR908439_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345715.0	86.7 Mbp	0.0	251.0	47.0	16.2370738903432	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908439_2_paired	SRR908439_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42250.0	6 Mbp	0.0	50-251	29.0	60.48994082840237	144.3361420118343	147	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908440_1	SRR908440_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194554.0	48.8 Mbp	0.0	251.0	39.0	32.92916105554242	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908440_1_paired	SRR908440_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87174.0	12.5 Mbp	0.0	50-251	28.0	54.169821276986255	144.51328377727305	147	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
SRR908440_2	SRR908440_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194554.0	48.8 Mbp	0.0	251.0	43.0	35.68675020816843	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908440_2_paired	SRR908440_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87174.0	11.8 Mbp	0.0	50-251	28.0	55.561291210682086	136.02840296418657	137	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR908441_1	SRR908441_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377233.0	94.6 Mbp	0.0	251.0	44.0	26.94663965974214	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908441_1_paired	SRR908441_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107235.0	17.2 Mbp	0.0	50-251	41.0	65.2473539422763	160.90165524315756	162	pass	pass	pass	fail	fail	pass	warn	warn	fail	warn
SRR908441_2	SRR908441_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377233.0	94.6 Mbp	0.0	251.0	49.0	27.280309605168885	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
