Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR908430_1	76.47822021580038	43.0	251.0	251	60.0	0.7193609999999999
SRR908430_2	73.79073902817875	48.0	251.0	251	60.0	0.7193609999999999
SRR908431_1	81.93857202978182	35.0	251.0	251	60.0	0.508498
SRR908431_2	80.14754159290449	39.0	251.0	251	60.0	0.508498
SRR908432_1	82.51438668078896	42.0	251.0	251	60.0	0.409754
SRR908432_2	80.56077548968406	47.0	251.0	251	60.0	0.409754
SRR908433_1	84.35683352190706	42.0	251.0	251	60.0	0.25631
SRR908433_2	83.0080761577777	47.0	251.0	251	60.0	0.25631
SRR908434_1	80.42810531053105	41.0	251.0	251	60.0	0.17776
SRR908434_2	81.8772502250225	47.0	251.0	251	60.0	0.17776
SRR908435_1	64.38064991026309	39.0	251.0	251	60.0	0.24181799999999998
SRR908435_2	60.106360982226306	43.0	251.0	251	60.0	0.24181799999999998
SRR908436_1	81.08999541674851	39.0	251.0	251	60.0	0.244368
SRR908436_2	81.35803378511098	44.0	251.0	251	60.0	0.244368
SRR908437_1	76.56854857073459	41.0	251.0	251	60.0	0.065873
SRR908437_2	77.98035613984486	46.0	251.0	251	60.0	0.065873
SRR908438_1	82.90341898954703	43.0	251.0	251	60.0	0.55104
SRR908438_2	82.80760017421602	49.0	251.0	251	60.0	0.55104
SRR908439_1	82.44999493802699	42.0	251.0	251	60.0	0.345715
SRR908439_2	83.7629261096568	47.0	251.0	251	60.0	0.345715
SRR908440_1	67.07083894445758	39.0	251.0	251	60.0	0.194554
SRR908440_2	64.31324979183157	43.0	251.0	251	60.0	0.194554
SRR908441_1	73.05336034025785	44.0	251.0	251	60.0	0.377233
SRR908441_2	72.71969039483112	49.0	251.0	251	60.0	0.377233
SRR908442_1	65.52204424920984	44.0	251.0	251	60.0	0.074668
SRR908442_2	62.960036427920926	48.0	251.0	251	60.0	0.074668
SRR908443_1	48.13156072027981	44.0	251.0	251	50.0	0.364491
SRR908443_2	45.54196472396777	48.0	251.0	251	50.0	0.364491
SRR908444_1	13.427117827089958	46.0	251.0	251	40.0	0.467503
SRR908444_2	11.977870160336906	51.0	251.0	251	40.0	0.467503
SRR908445_1	68.8849778168885	44.0	251.0	251	60.0	0.136365
SRR908445_2	67.44032559674403	49.0	251.0	251	60.0	0.136365
SRR908446_1	76.95545135508037	42.0	251.0	251	60.0	1.4600629999999999
SRR908446_2	72.58990097104052	47.0	251.0	251	60.0	1.4600629999999999
SRR908447_1	32.08887969172737	44.0	251.0	251	50.0	0.5716209999999999
SRR908447_2	29.202695632458017	49.0	251.0	251	50.0	0.5716209999999999
SRR908448_1	39.14575093543517	44.0	251.0	251	50.0	0.39011399999999996
SRR908448_2	37.04090404695234	48.0	251.0	251	50.0	0.39011399999999996
SRR908449_1	86.84974453350209	38.0	251.0	251	60.0	0.900839
SRR908449_2	84.56325812661564	42.0	251.0	251	60.0	0.900839
SRR908450_1	66.42663392904801	40.0	251.0	251	60.0	0.206083
SRR908450_2	65.05534177976834	44.0	251.0	251	60.0	0.206083
SRR908451_1	84.20475455518314	45.0	251.0	251	50.0	0.566278
SRR908451_2	83.55277796418014	51.0	251.0	251	60.0	0.566278
SRR908452_1	62.283108706277915	46.0	251.0	251	50.0	0.348692
SRR908452_2	58.873629954689385	50.0	251.0	251	60.0	0.348692
SRR908453_1	67.04834946769998	45.0	251.0	251	50.0	0.223746
SRR908453_2	63.929187560894945	50.0	251.0	251	60.0	0.223746
