Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
SRR908430	719361.0	295330.0	41.05	17046.0	2.37	3514.0	0.49	403471.0	56.09
SRR908431	508498.0	222423.0	43.74	8832.0	1.74	2033.0	0.4	275210.0	54.12
SRR908432	409754.0	77542.0	18.92	5140.0	1.25	908.0	0.22	326164.0	79.6
SRR908433	256310.0	32450.0	12.66	2005.0	0.78	468.0	0.18	221387.0	86.37
SRR908434	177760.0	21920.0	12.33	1247.0	0.7	335.0	0.19	154258.0	86.78
SRR908435	241818.0	127485.0	52.72	6870.0	2.84	1241.0	0.51	106222.0	43.93
SRR908436	244368.0	47023.0	19.24	2438.0	1.0	552.0	0.23	194355.0	79.53
SRR908437	65873.0	8922.0	13.54	467.0	0.71	92.0	0.14	56392.0	85.61
SRR908438	551040.0	94157.0	17.09	5002.0	0.91	1231.0	0.22	450650.0	81.78
SRR908439	345715.0	42250.0	12.22	2403.0	0.7	653.0	0.19	300409.0	86.89
SRR908440	194554.0	87174.0	44.81	4563.0	2.35	866.0	0.45	101951.0	52.4
SRR908441	377233.0	107235.0	28.43	6921.0	1.83	1185.0	0.31	261892.0	69.42
SRR908442	74668.0	25850.0	34.62	1183.0	1.58	326.0	0.44	47309.0	63.36
SRR908443	364491.0	254454.0	69.81	10730.0	2.94	2988.0	0.82	96319.0	26.43
SRR908444	467503.0	409315.0	87.55	18287.0	3.91	4686.0	1.0	35215.0	7.53
SRR908445	136365.0	55850.0	40.96	2410.0	1.77	659.0	0.48	77446.0	56.79
SRR908446	1460063.0	922518.0	63.18	44685.0	3.06	10769.0	0.74	482091.0	33.02
SRR908447	571621.0	497249.0	86.99	23136.0	4.05	5221.0	0.91	46015.0	8.05
SRR908448	390114.0	270866.0	69.43	12837.0	3.29	2753.0	0.71	103658.0	26.57
SRR908449	900839.0	413268.0	45.88	19880.0	2.21	4314.0	0.48	463377.0	51.44
SRR908450	206083.0	99504.0	48.28	3961.0	1.92	992.0	0.48	101626.0	49.31
SRR908451	566278.0	133605.0	23.59	7737.0	1.37	1687.0	0.3	423249.0	74.74
SRR908452	348692.0	239003.0	68.54	8849.0	2.54	2562.0	0.73	98278.0	28.18
SRR908453	223746.0	103718.0	46.36	4250.0	1.9	1085.0	0.48	114693.0	51.26
