Sample	Surviving Reads	Forward Only Surviving	Reverse Only Surviving	Dropped
SRR908430	295330.0	17046.0	3514.0	403471.0
SRR908431	222423.0	8832.0	2033.0	275210.0
SRR908432	77542.0	5140.0	908.0	326164.0
SRR908433	32450.0	2005.0	468.0	221387.0
SRR908434	21920.0	1247.0	335.0	154258.0
SRR908435	127485.0	6870.0	1241.0	106222.0
SRR908436	47023.0	2438.0	552.0	194355.0
SRR908437	8922.0	467.0	92.0	56392.0
SRR908438	94157.0	5002.0	1231.0	450650.0
SRR908439	42250.0	2403.0	653.0	300409.0
SRR908440	87174.0	4563.0	866.0	101951.0
SRR908441	107235.0	6921.0	1185.0	261892.0
SRR908442	25850.0	1183.0	326.0	47309.0
SRR908443	254454.0	10730.0	2988.0	96319.0
SRR908444	409315.0	18287.0	4686.0	35215.0
SRR908445	55850.0	2410.0	659.0	77446.0
SRR908446	922518.0	44685.0	10769.0	482091.0
SRR908447	497249.0	23136.0	5221.0	46015.0
SRR908448	270866.0	12837.0	2753.0	103658.0
SRR908449	413268.0	19880.0	4314.0	463377.0
SRR908450	99504.0	3961.0	992.0	101626.0
SRR908451	133605.0	7737.0	1687.0	423249.0
SRR908452	239003.0	8849.0	2562.0	98278.0
SRR908453	103718.0	4250.0	1085.0	114693.0
