Sample	Mean read length_fastq	Mean read quality_fastq	Median read length_fastq	Median read quality_fastq	Number of reads_fastq	Read length N50_fastq	STDEV read length_fastq	Total bases_fastq	>Q10_fastq	>Q15_fastq	>Q20_fastq	>Q25_fastq	>Q30_fastq
SRR16005710_post	9363.7	10.9	9087.0	10.9	8207.0	9116.0	1521.1	76847775.0	8207.0	0.0	0.0	0.0	0.0
SRR16005710_post_stats	9363.7	10.9	9087.0	10.9	8207.0	9116.0	1521.1	76847775.0	8207.0	0.0	0.0	0.0	0.0
SRR16005710_pre	1059.3	9.4	564.0	9.6	796000.0	1315.0	1559.0	843165470.0	312647.0	10.0	0.0	0.0	0.0
SRR16005710_pre_stats	1059.3	9.4	564.0	9.6	796000.0	1315.0	1559.0	843165470.0	312647.0	10.0	0.0	0.0	0.0
SRR16005711_post	9709.2	10.9	9009.0	10.8	15360.0	9281.0	2273.8	149132565.0	15360.0	0.0	0.0	0.0	0.0
SRR16005711_post_stats	9709.2	10.9	9009.0	10.8	15360.0	9281.0	2273.8	149132565.0	15360.0	0.0	0.0	0.0	0.0
SRR16005711_pre	1859.9	9.3	1171.0	9.4	892000.0	2676.0	2201.5	1659043013.0	307786.0	1.0	0.0	0.0	0.0
SRR16005711_pre_stats	1859.9	9.3	1171.0	9.4	892000.0	2676.0	2201.5	1659043013.0	307786.0	1.0	0.0	0.0	0.0
SRR16005712_post	9102.9	11.0	8884.0	11.0	32306.0	8899.0	1891.7	294079288.0	32306.0	0.0	0.0	0.0	0.0
SRR16005712_post_stats	9102.9	11.0	8884.0	11.0	32306.0	8899.0	1891.7	294079288.0	32306.0	0.0	0.0	0.0	0.0
SRR16005712_pre	3063.0	9.3	1757.0	9.5	432000.0	5938.0	3051.6	1323219935.0	170803.0	5.0	0.0	0.0	0.0
SRR16005712_pre_stats	3063.0	9.3	1757.0	9.5	432000.0	5938.0	3051.6	1323219935.0	170803.0	5.0	0.0	0.0	0.0
SRR16005713_post	9963.2	10.9	8930.0	10.8	26456.0	9353.0	2744.4	263585304.0	26456.0	0.0	0.0	0.0	0.0
SRR16005713_post_stats	9963.2	10.9	8930.0	10.8	26456.0	9353.0	2744.4	263585304.0	26456.0	0.0	0.0	0.0	0.0
SRR16005713_pre	3042.6	9.5	1802.0	9.8	472000.0	4333.0	2985.4	1436087634.0	207607.0	3.0	0.0	0.0	0.0
SRR16005713_pre_stats	3042.6	9.5	1802.0	9.8	472000.0	4333.0	2985.4	1436087634.0	207607.0	3.0	0.0	0.0	0.0
SRR16005714_post	10261.8	12.4	9615.0	12.7	29824.0	9675.0	2594.4	306047619.0	29824.0	387.0	0.0	0.0	0.0
SRR16005714_post_stats	10261.8	12.4	9615.0	12.7	29824.0	9675.0	2594.4	306047619.0	29824.0	387.0	0.0	0.0	0.0
SRR16005714_pre	1657.5	11.1	713.0	11.7	1050151.0	2723.0	2090.5	1740669801.0	808992.0	14799.0	1.0	1.0	0.0
SRR16005714_pre_stats	1657.5	11.1	713.0	11.7	1050151.0	2723.0	2090.5	1740669801.0	808992.0	14799.0	1.0	1.0	0.0
SRR16005715_post	9683.5	11.1	9276.0	11.1	3601.0	9749.0	2067.8	34870275.0	3601.0	0.0	0.0	0.0	0.0
SRR16005715_post_stats	9683.5	11.1	9276.0	11.1	3601.0	9749.0	2067.8	34870275.0	3601.0	0.0	0.0	0.0	0.0
SRR16005715_pre	1509.8	9.9	1349.0	10.3	1280000.0	1862.0	1216.2	1932492076.0	717859.0	51.0	0.0	0.0	0.0
SRR16005715_pre_stats	1509.8	9.9	1349.0	10.3	1280000.0	1862.0	1216.2	1932492076.0	717859.0	51.0	0.0	0.0	0.0
SRR16005716_post	9418.3	11.3	9048.0	11.3	60594.0	9055.0	1948.3	570689635.0	60594.0	0.0	0.0	0.0	0.0
SRR16005716_post_stats	9418.3	11.3	9048.0	11.3	60594.0	9055.0	1948.3	570689635.0	60594.0	0.0	0.0	0.0	0.0
SRR16005716_pre	2572.1	9.9	895.0	10.3	628000.0	8434.0	3461.5	1615300119.0	365568.0	7.0	0.0	0.0	0.0
SRR16005716_pre_stats	2572.1	9.9	895.0	10.3	628000.0	8434.0	3461.5	1615300119.0	365568.0	7.0	0.0	0.0	0.0
SRR16005717_post	9216.6	10.8	9020.5	10.7	784.0	9080.0	1843.1	7225823.0	784.0	0.0	0.0	0.0	0.0
SRR16005717_post_stats	9216.6	10.8	9020.5	10.7	784.0	9080.0	1843.1	7225823.0	784.0	0.0	0.0	0.0	0.0
SRR16005717_pre	1156.9	9.7	661.0	9.8	528000.0	1813.0	1147.8	610832294.0	225151.0	47.0	0.0	0.0	0.0
SRR16005717_pre_stats	1156.9	9.7	661.0	9.8	528000.0	1813.0	1147.8	610832294.0	225151.0	47.0	0.0	0.0	0.0
SRR16005718_post	9400.2	12.3	9061.0	12.6	72541.0	9068.0	1903.9	681897054.0	72541.0	759.0	0.0	0.0	0.0
SRR16005718_post_stats	9400.2	12.3	9061.0	12.6	72541.0	9068.0	1903.9	681897054.0	72541.0	759.0	0.0	0.0	0.0
SRR16005718_pre	2575.2	10.9	811.0	11.5	696000.0	6466.0	3224.8	1792350015.0	513496.0	7412.0	0.0	0.0	0.0
SRR16005718_pre_stats	2575.2	10.9	811.0	11.5	696000.0	6466.0	3224.8	1792350015.0	513496.0	7412.0	0.0	0.0	0.0
