sample	arm	len	called	%N	valid
124_4	HXB2	9728	8914	8.36	1
124_4	bestref	9694	8829	8.92	1
128_5	HXB2	9751	5469	43.91	0
128_5	bestref	9751	5469	43.91	0
203_3	HXB2	9730	1178	87.89	0
203_3	bestref	9807	1134	88.43	0
211_0	HXB2	9720	5976	38.51	0
211_0	bestref	9747	5958	38.87	0
