Results:
Sequence,Muts,Potential Mut Sites,Control Muts,Potential Controls,Rate Ratio,Fisher's Exact P-value,Odds Ratio,Hypermutated
124_4,128,1068,110,1011,1.1,0.235309,1.115358,False
128_5,64,647,69,597,0.86,0.851252,0.840033,False
203_3,12,153,24,158,0.52,0.986817,0.475177,False
211_0,72,747,75,686,0.88,0.814338,0.868978,False

Summary:
No sequences appear to be hypermutated.

Locations of matches:

Sequence Name: 124_4
Pos	Mut
879	0
880	0
881	0
891	0
902	0
903	0
904	0
905	0
906	0
910	0
939	0
948	0
949	1
950	0
956	0
960	0
986	0
995	0
1015	1
1016	0
1043	0
1044	0
1049	0
1052	0
1059	1
1104	0
1105	0
1109	0
1111	0
1126	0
1127	0
1136	0
1141	1
1145	0
1147	0
1148	0
1151	0
1168	0
1199	1
1200	1
1216	0
1243	1
1252	0
1253	0
1261	0
1284	0
1299	0
1300	0
1313	0
1316	0
1318	1
1334	0
1339	1
1364	0
1367	1
1368	0
1382	0
1408	0
1409	0
1410	0
1411	1
1412	0
1442	0
1454	0
1456	0
1457	0
1466	0
1470	1
1471	0
1472	0
1496	0
1516	0
1519	0
1521	0
1523	0
1530	0
1531	0
1532	0
1533	0
1538	0
1547	0
1548	0
1567	0
1568	0
1578	0
1581	1
1582	0
1610	0
1611	0
1613	0
1626	0
1629	0
1630	0
1639	1
1640	0
1641	0
1659	0
1684	1
1697	0
1705	0
1706	0
1716	0
1718	0
1727	0
1731	1
1749	0
1754	0
1768	0
1771	0
1782	0
1783	0
1790	0
1801	1
1813	0
1820	0
1846	1
1847	0
1853	0
1865	0
1868	0
1873	0
1888	1
1889	0
1890	0
1895	0
1896	0
1898	1
1904	1
1917	1
1928	0
1936	0
1969	0
1975	1
1977	1
1989	1
1990	1
1998	0
2002	1
2030	0
2033	0
2046	1
2055	0
2064	0
2065	1
2071	0
2079	0
2080	0
2087	0
2088	0
2092	0
2093	0
2096	0
2107	0
2111	0
2120	0
2122	1
2141	0
2142	0
2143	0
2146	1
2164	0
2165	0
2166	0
2174	0
2175	0
2176	0
2188	0
2222	0
2243	0
2245	0
2253	0
2258	0
2259	0
2260	0
2261	0
2264	0
2284	0
2290	0
2291	0
2293	0
2297	0
2301	0
2306	0
2307	0
2335	1
2371	1
2375	0
2376	0
2377	0
2378	0
2389	1
2390	0
2402	0
2408	0
2409	0
2414	0
2417	0
2429	0
2432	0
2437	1
2447	0
2448	0
2451	1
2454	0
2455	0
2467	0
2471	1
2472	0
2473	0
2474	0
2475	0
2480	0
2481	0
2483	0
2507	0
2512	1
2522	0
2531	0
2546	0
2561	0
2585	0
2586	0
2589	0
2605	0
2642	0
2669	0
2670	0
2674	0
2675	0
2708	0
2711	0
2732	0
2744	0
2746	1
2749	0
2750	0
2755	0
2756	0
2759	0
2760	0
2761	1
2777	0
2783	0
2818	0
2838	0
2839	0
2841	0
2852	0
2859	0
2861	0
2872	0
2874	0
2889	1
2890	0
2891	0
2903	0
2904	0
2921	0
2932	0
2953	1
2954	0
2959	1
2960	0
2963	0
2987	0
2990	0
2993	0
3000	0
3001	1
3038	0
3047	0
3048	0
3049	0
3054	0
3079	0
3080	0
3081	0
3084	0
3085	0
3089	0
3090	0
3131	0
3141	0
3155	0
3178	0
3179	0
3182	0
3194	0
3195	0
3206	0
3212	0
3222	0
3233	0
3235	1
3236	0
3241	1
3243	0
3256	0
3258	1
3261	0
3262	0
3263	0
3264	0
3292	0
3296	0
3312	0
3313	0
3316	0
3317	0
3323	0
3335	0
3342	0
3359	0
3368	0
3374	0
3381	0
3392	0
3400	0
3409	0
3410	0
3411	0
3412	1
3418	0
3423	1
3433	0
3443	0
3444	0
3445	1
3477	0
3479	0
3480	0
3497	0
3515	0
3518	0
3524	0
3530	0
3539	0
3546	0
3548	0
3550	0
3560	0
3572	0
3573	0
3608	0
3616	0
3622	1
3623	0
3636	0
3656	0
3673	0
3680	0
3681	0
3693	1
3697	0
3699	0
3700	0
3701	0
3716	0
3734	0
3758	0
3774	0
3775	0
3776	0
3777	0
3811	0
3812	0
