Results:
Sequence,Muts,Potential Mut Sites,Control Muts,Potential Controls,Rate Ratio,Fisher's Exact P-value,Odds Ratio,Hypermutated
124_4,253,1211,110,1162,2.21,0.0,2.525678,True
128_5,58,1226,65,1147,0.83,0.868754,0.826607,False
203_3,11,1221,23,1152,0.45,0.992624,0.446245,False
211_0,72,1217,75,1156,0.91,0.746276,0.906341,False

Summary:
124_4 appears to be hypermutated (OR=2.525678496868476)
No sequences appear to be hypermutated.

Locations of matches:

Sequence Name: 124_4
Pos	Mut
2	0
3	0
6	0
25	0
33	0
42	0
49	0
50	0
78	0
86	0
99	0
105	0
106	0
107	0
112	0
129	0
130	0
133	0
156	0
162	0
164	0
171	0
174	0
186	0
187	0
189	0
191	0
215	0
225	0
226	0
230	0
231	0
239	0
240	0
242	0
244	0
246	0
255	0
259	0
260	0
262	0
298	0
300	0
311	0
312	0
323	0
337	0
350	0
351	0
363	0
364	0
365	0
375	0
376	0
377	0
389	0
393	0
394	0
399	0
400	0
401	0
402	0
409	0
418	0
454	0
455	0
464	0
474	0
479	0
485	0
486	0
487	0
505	0
506	0
507	0
542	0
583	0
591	0
593	0
620	0
621	0
644	0
649	0
650	0
656	0
662	0
666	0
667	0
668	0
675	0
677	0
678	0
694	0
708	0
724	0
729	0
731	0
732	0
743	0
746	0
771	0
772	0
779	0
782	0
783	0
785	0
787	0
789	0
792	0
793	0
798	0
800	0
817	0
818	0
819	0
820	0
823	0
829	0
833	0
836	0
837	0
838	0
848	0
859	0
860	0
861	0
862	0
863	0
867	0
896	0
905	0
906	1
907	0
913	0
917	0
943	0
952	0
972	1
973	0
1000	0
1001	0
1006	0
1009	0
1016	1
1061	0
1062	0
1066	0
1068	0
1083	0
1084	0
1093	0
1098	1
1102	0
1104	0
1105	0
1108	0
1125	0
1156	1
1157	1
1170	0
1197	1
1206	0
1207	0
1215	0
1238	0
1253	0
1254	0
1267	0
1270	0
1272	1
1288	0
1293	1
1318	0
1321	1
1322	0
1336	0
1362	0
1363	0
1364	0
1365	1
1366	0
1396	0
1408	0
1410	0
1411	0
1420	0
1424	1
1425	0
1426	0
1450	0
1470	0
1473	0
1475	0
1477	0
1484	0
1485	0
1486	0
1487	0
1492	0
1501	0
1502	0
1521	0
1522	0
1532	0
1535	1
1536	0
1564	0
1565	0
1567	0
1580	0
1583	0
1584	0
1593	1
1594	0
1595	0
1613	0
1638	1
1651	0
1659	0
1660	0
1670	0
1672	0
1681	0
1685	1
1703	0
1708	0
1722	0
1725	0
1736	0
1737	0
1744	0
1755	1
1767	0
1774	0
1800	1
1801	0
1807	0
1819	0
1822	0
1827	0
1842	1
1843	0
1844	0
1849	0
1850	0
1852	1
1858	1
1871	1
1882	0
1890	0
1920	0
1926	1
1928	1
1940	1
1941	1
1949	0
1953	1
1981	0
1984	0
1997	1
2006	0
2015	0
2016	1
2022	0
2030	1
2031	0
2038	0
2039	0
2043	0
2044	0
2047	0
2058	0
2062	0
2071	0
2073	1
2092	1
2093	1
2094	0
2097	1
2115	0
2116	0
2117	0
2125	1
2126	1
2127	0
2139	0
2149	0
2170	0
2172	0
2180	0
2185	1
2186	1
2187	1
2188	0
2191	0
2193	0
2211	0
2217	0
2218	0
2220	0
2223	1
2227	0
2232	1
2233	0
2258	1
2294	1
2298	0
2299	0
2300	0
2301	0
2312	1
2313	0
2325	0
2331	0
2332	0
2337	0
2340	0
2352	0
2355	0
2360	1
2370	0
2371	0
2374	1
2377	1
2378	0
2390	0
2394	1
2395	0
2396	1
2397	0
2398	0
2403	1
2404	0
2406	1
2430	0
2435	1
2445	0
2454	0
2469	1
2484	1
2508	1
2509	0
2512	0
2528	0
2565	0
2592	0
2593	1
2597	1
2598	0
2631	0
2634	0
2655	0
2667	0
2669	1
2672	0
2673	0
2678	1
2679	0
2682	0
2683	0
2684	1
2700	1
2706	0
2741	0
2761	0
2762	0
2764	0
2775	0
2782	0
2784	0
2795	1
2797	0
2812	1
2813	0
2814	0
2826	1
2827	0
2844	0
2855	0
2876	1
2877	0
2882	1
2883	1
2886	0
2910	0
2913	1
2916	0
2923	0
2924	1
2961	0
2970	0
2971	1
2972	0
2977	1
3002	0
3003	1
3004	0
3007	1
3008	0
3012	1
3013	0
3054	0
3064	0
3078	0
3101	1
3102	0
3105	0
3117	1
3118	0
3129	0
3135	1
3145	0
3156	0
3158	1
3159	0
3164	1
3166	1
3179	0
3181	1
3184	1
3185	1
3186	1
3187	0
3215	0
3219	0
3235	1
3236	0
3239	1
3240	0
3246	0
3258	0
3265	0
3282	0
3291	0
3297	0
3304	1
3315	0
3323	0
3332	1
3333	1
3334	0
3335	1
3341	0
3346	1
3356	0
3366	1
3367	0
3368	1
3400	0
3402	1
3403	0
3420	0
3438	0
3441	0
3447	0
3453	0
3462	0
3469	1
3471	0
3473	0
3483	0
3495	1
3496	1
3531	0
3539	0
3545	1
3546	0
3559	1
3579	0
3596	0
3603	1
3604	0
3616	1
3620	0
3622	0
3623	1
3624	1
3639	0
3657	0
3681	0
3697	1
3698	1
3699	0
3700	0
3734	0
3735	0
3742	1
3743	1
3744	0
3751	1
3754	0
3759	0
3778	1
3779	0
3786	0
3790	0
3791	0
3792	1
3818	0
3826	1
3837	0
3839	0
3843	0
3855	1
3856	0
3861	0
3876	0
3879	1
3880	0
3892	0
3893	1
3894	0
3906	0
3907	0
3915	1
3916	0
3931	0
3933	1
3934	0
3974	0
3981	1
4010	1
4011	0
4016	1
4017	0
4059	1
4060	0
4080	0
4089	0
4095	0
4116	0
4133	0
4134	0
4139	0
4153	1
4154	1
4170	1
4171	0
4176	1
4177	0
4179	1
4180	0
4185	0
4194	0
4209	1
4212	1
4213	0
4219	0
4220	1
4236	0
4239	1
4240	0
4245	0
4257	0
4260	0
4266	0
4268	0
4285	1
4286	0
4288	0
4302	0
4332	0
4350	0
4368	0
4369	1
4371	0
4383	1
4404	1
4405	0
4419	0
4434	0
4437	0
4438	0
4451	1
4482	0
4488	0
4503	0
4509	0
4514	0
4515	0
4545	0
4546	0
4549	0
4581	0
4596	1
4599	1
4604	0
4609	1
4621	1
4624	1
4628	1
4640	0
4641	0
4647	1
4648	0
4674	0
4675	0
4683	0
4691	0
4698	0
4706	0
4716	1
4721	1
4726	0
4728	0
4737	0
4789	0
4794	0
4795	0
4796	0
4797	0
4798	0
4799	0
4803	0
4804	0
4805	0
4806	0
4807	0
4818	0
4819	0
4820	0
4821	0
4825	0
4863	0
4900	1
4901	0
4912	0
4913	0
4921	0
4933	0
4934	0
4938	0
4957	0
4958	0
4962	0
4965	0
4968	0
4969	0
5014	0
5017	0
5027	0
5035	1
5036	1
5037	0
5043	0
5044	0
5051	0
5058	0
5061	0
5064	0
5084	0
5085	0
5088	0
5090	1
5091	0
5096	0
5102	0
5103	0
5137	1
5138	0
5139	0
5147	1
5148	1
5149	0
5153	1
5173	0
5189	1
5200	0
5218	0
5219	0
5220	0
5221	0
5228	0
5232	1
5251	0
5263	0
5264	0
5266	0
5270	1
5272	0
5283	1
5284	0
5289	0
5290	0
5291	1
5302	0
5306	0
5307	0
5316	1
5318	0
5377	0
5389	0
5416	0
5435	0
5440	1
5452	0
5463	0
5467	0
5468	0
5514	0
5541	0
5551	0
5553	0
5554	0
5558	0
5561	1
5562	0
5574	0
5583	0
5591	0
5593	0
5594	1
5595	0
5607	0
5611	0
5619	0
5628	0
5630	0
5631	0
5639	0
5643	0
5679	1
5680	0
5685	0
5709	0
5710	0
5711	1
5712	0
5719	1
5724	0
5725	0
5729	0
5730	0
5743	0
5777	0
5782	1
5783	0
5798	0
5817	0
5819	0
5820	0
5822	0
5828	0
5833	0
5843	0
5855	0
5862	1
5863	0
5873	1
5874	0
5976	0
5977	0
5980	0
5985	1
5986	1
5997	0
6010	1
6129	0
6146	0
6153	0
6154	1
6171	1
6183	0
6191	0
6195	0
6203	0
6207	0
6212	0
6215	0
6227	0
6229	1
6233	0
6236	0
6237	0
6239	0
6256	0
6257	0
6259	0
6262	0
6263	0
6264	0
6265	0
6268	0
6269	0
6271	0
6274	0
6275	0
6291	1
6299	0
6318	0
6328	1
6329	0
6345	1
6346	1
6347	0
6358	0
6359	0
6362	1
6363	0
6393	0
6408	1
6414	0
6430	1
6471	0
6482	1
6483	0
6495	0
6511	0
6512	0
6524	0
6528	0
6533	0
6540	0
6542	0
6543	0
6559	1
6560	0
6561	0
6626	0
6633	1
6649	1
6659	0
6661	0
6671	0
6674	0
6678	0
6679	0
6683	0
6715	0
6721	1
6723	0
6728	0
6729	1
6731	1
6734	0
6762	0
6777	1
6783	0
6803	1
6845	0
6855	0
6888	1
6896	0
6917	0
6927	0
6928	0
6972	1
6973	0
7011	0
7023	0
7026	0
7029	1
7031	0
7042	0
7047	0
7058	1
7088	0
7101	0
7141	0
7154	0
7156	0
7158	1
7164	0
7168	0
7185	1
7194	1
7195	1
7202	1
7228	0
7230	1
7237	1
7238	0
7256	0
7264	1
7273	0
7320	0
7321	0
7323	1
7324	1
7325	0
7332	0
7359	0
7360	0
7362	0
7363	1
7364	0
7365	0
7408	1
7409	0
7423	0
7424	1
7431	0
7435	0
7449	0
7452	0
7453	0
7458	0
7480	1
7508	0
7515	1
7516	0
7543	0
7545	0
7555	1
7575	1
7591	0
7593	0
7596	1
7599	1
7606	0
7614	0
7620	0
7635	0
7636	0
7638	1
7639	0
7641	1
7642	0
7644	1
7649	0
7651	1
7652	1
7660	1
7661	0
7663	0
7668	0
7698	0
7707	1
7708	0
7730	0
7732	0
7735	0
7739	0
7742	0
7745	1
7747	0
7749	0
7756	0
7763	1
7764	0
7770	1
7771	0
7785	1
7786	1
7793	1
7794	1
7795	0
7803	1
7804	0
7814	1
7838	0
7863	0
7880	1
7892	0
7894	1
7902	0
7936	1
7937	0
7960	0
7973	0
7974	0
7988	0
7989	1
8003	1
8004	0
8005	0
8006	1
8011	0
8012	0
8013	0
8022	0
8023	0
8043	1
8053	0
8054	0
8065	0
8066	0
8081	1
8087	0
8092	0
8093	0
8107	0
8108	0
8111	1
8112	0
8116	0
8117	0
8118	0
8122	0
8124	0
8163	0
8166	0
8184	0
8189	0
8193	0
8199	0
8208	0
8221	0
8233	0
8234	0
8239	0
8263	0
8285	0
8292	0
8293	0
8300	0
8304	0
8311	0
8339	1
8344	0
8354	0
8355	0
8356	0
8396	0
8398	0
8399	0
8400	0
8415	0
8418	0
8419	0
8424	0
8427	0
8430	0
8433	0
8436	0
8437	0
8439	0
8443	1
8449	0
8455	0
8464	0
8471	0
8475	0
8476	0
8494	0
8495	0
8499	0
8504	0
8506	0
8507	0
8537	0
8539	0
8552	1
8561	0
8563	0
8564	0
8570	0
8571	0
8579	0
8580	0
8587	0
8588	0
8589	0
8590	0
8593	0
8594	0
8595	0
8614	0
8615	0
8632	0
8633	0
8639	0
8640	0
8648	0
8694	0
8696	0
8697	0
8698	0
8703	0
8707	0
8708	0
8715	0
8721	0
8728	0
8737	0
8758	0
8761	0
8771	1
8777	1
8778	0
8782	0
8783	0
8796	0
8799	0
8800	0
8810	0
8826	1
8830	0
8831	0
8846	0
8847	0
8848	0
8852	0
8856	1
8858	0
8861	0
8878	0
8882	0
8883	0
8886	0
8887	0
8888	0
8900	0
8907	0
8908	0
8917	1
8918	0
8944	1
8971	0
8980	0
8982	1
8983	0
8985	0
8986	0
8988	0
8989	0
8991	1
8994	0
8995	0
9015	0
9042	0
9043	0
9052	0
9073	0
9078	0
9079	0
9080	0
9081	0
9082	0
9087	0
9088	0
9091	0
9110	1
9118	0
9127	0
9134	0
9135	0
9163	0
9171	0
9184	0
9190	0
9191	0
9192	0
9197	0
9214	0
9215	0
9218	0
9241	0
9247	0
9252	0
9256	0
9259	0
9271	0
9272	0
9274	0
9276	0
9300	1
9310	0
9311	0
9312	1
9315	0
9324	0
9325	0
9327	0
9329	0
9331	0
9340	1
9344	0
9345	0
9347	0
9376	1
9383	0
9396	0
9397	0
9408	0
9422	0
9435	0
9436	0
9448	0
9449	0
9450	0
9460	0
9461	0
9462	0
9474	0
9475	0
9478	0
9479	0
9484	0
9485	0
9486	0
9487	0
9494	0
9503	0
9539	0
9540	0
9549	0
9559	0
9564	0
9570	0
9571	1
9572	0
9590	0
9591	0
9592	0
9627	0
9668	0
9676	0
9678	0
9705	0
9706	0

Sequence Name: 124_4 control
Pos	Mut
7	0
8	0
28	0
47	0
66	0
67	0
83	0
100	0
101	0
122	0
134	0
136	0
143	0
147	0
153	0
158	0
167	0
177	0
199	0
203	0
213	0
217	0
221	0
234	0
249	0
251	0
257	0
263	0
267	0
271	0
274	0
279	0
293	0
294	0
302	0
305	0
314	0
328	0
331	0
339	0
343	0
352	0
360	0
366	0
379	0
380	0
382	0
384	0
385	0
390	0
391	0
395	0
404	0
406	0
407	0
411	0
424	0
432	0
435	0
438	0
445	0
449	0
456	0
465	0
469	0
481	0
489	0
496	0
497	0
516	0
522	0
533	0
537	0
544	0
546	0
553	0
556	0
558	0
560	0
562	0
566	0
570	0
573	0
575	0
577	0
584	0
602	0
612	0
616	0
618	0
632	0
635	0
637	0
638	0
640	0
651	0
660	0
680	0
688	0
691	0
695	0
700	0
701	0
705	0
711	0
713	0
715	0
719	0
720	0
726	0
727	0
733	0
734	0
736	0
737	0
739	0
744	0
748	0
752	0
764	0
769	0
774	0
775	0
794	0
796	0
802	0
804	0
808	0
815	0
821	0
849	0
854	0
855	0
892	0
897	0
898	0
902	0
909	0
922	0
925	0
934	1
935	0
939	0
955	0
956	0
959	0
962	0
974	0
978	0
996	1
1033	0
1036	0
1049	0
1051	0
1053	1
1075	0
1087	0
1110	0
1121	0
1132	0
1137	0
1141	0
1144	1
1147	0
1150	0
1163	0
1171	0
1175	0
1192	0
1194	0
1208	0
1209	0
1216	0
1224	0
1225	0
1249	0
1255	0
1261	0
1264	1
1275	0
1276	0
1283	0
1291	0
1302	0
1309	0
1324	0
1350	0
1360	0
1367	0
1375	0
1378	0
1383	0
1389	0
1398	0
1414	0
1417	0
1430	0
1432	0
1434	1
1441	0
1443	0
1447	0
1451	0
1452	0
1459	0
1465	0
1466	0
1490	0
1498	0
1511	0
1531	0
1539	0
1561	0
1609	0
1617	0
1622	0
1631	0
1639	0
1646	0
1652	0
1678	0
1686	0
1705	0
1710	0
1714	0
1723	0
1726	0
1740	0
1752	0
1756	0
1765	0
1778	0
1782	1
1795	0
1802	0
1809	0
1810	0
1830	0
1834	0
1838	0
1846	0
1853	0
1859	0
1866	1
1867	0
1873	0
1878	0
1879	0
1885	0
1892	0
1897	0
1909	0
1923	0
1930	0
1931	0
1957	1
1962	1
1964	0
1973	0
1975	0
1976	0
1985	0
1986	0
1993	0
2003	0
2007	0
2008	0
2023	0
2024	0
2027	0
2036	0
2048	0
2066	0
2075	0
2079	0
2080	0
2102	0
2103	0
2120	0
2121	0
2141	1
2144	0
2151	0
2158	0
2167	0
2174	0
2181	0
2214	1
2238	0
2259	1
2269	0
2270	0
2275	0
2283	0
2302	0
2303	1
2316	0
2334	0
2346	0
2362	1
2366	0
2407	0
2418	0
2422	0
2426	0
2452	0
2455	0
2463	0
2470	0
2475	0
2481	0
2485	0
2496	0
2519	0
2522	0
2532	0
2533	0
2536	0
2557	0
2567	1
2571	0
2577	0
2588	0
2601	0
2602	0
2610	0
2620	0
2621	0
2627	0
2646	0
2652	1
2662	0
2701	0
2702	0
2727	1
2733	0
2748	0
2752	0
2772	0
2805	0
2817	0
2841	0
2845	0
2846	1
2865	0
2871	0
2880	0
2884	0
2889	0
2901	0
2927	0
2934	0
2950	0
2963	0
2984	0
2991	0
2993	1
3021	0
3034	0
3037	0
3041	0
3056	1
3084	0
3110	0
3114	0
3123	0
3136	0
3137	0
3140	0
3161	1
3176	1
3182	0
3201	0
3241	0
3266	0
3270	0
3275	1
3284	1
3287	0
3301	0
3305	0
3309	0
3326	1
3330	0
3347	0
3348	0
3352	0
3375	1
3379	0
