name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64152e_230610_114619/2622383/ccs/1	8266	5699	708	1859	5700	7558	kept
m64152e_230610_114619/30149189/ccs/0	8269	708	5701	1860	709	2568	kept
m64152e_230610_114619/30870061/ccs/1	8265	5699	707	1859	5700	7558	kept
m64152e_230610_114619/35980103/ccs/0	8266	707	5700	1859	708	2566	kept
m64152e_230610_114619/54724703/ccs/1	8265	5698	708	1859	5699	7557	kept
m64152e_230610_114619/91882661/ccs/0	8265	706	5700	1859	707	2565	kept
m64152e_230610_114619/101778303/ccs/1	8264	5697	708	1859	5698	7556	kept
m64152e_230610_114619/113445523/ccs/0	8265	707	5699	1859	708	2566	kept
m64152e_230610_114619/114098377/ccs/fwd/1	8272	5701	710	1861	5702	7562	kept
m64152e_230610_114619/114098377/ccs/rev/0	8274	1363	5708	1203	1364	2566	kept
m64152e_230610_114619/116983891/ccs/0	8243	702	5685	1856	703	2558	kept
m64152e_230610_114619/139722843/ccs/fwd/1	8259	5690	714	1855	5691	7545	kept
m64152e_230610_114619/139722843/ccs/rev/0	8253	1359	5690	1204	1360	2563	kept
m64152e_230610_114619/140380282/ccs/1	8265	5698	708	1859	5699	7557	kept
m64152e_230610_114619/148506052/ccs/0	8266	707	5700	1859	708	2566	kept
m64152e_230610_114619/150603120/ccs/1	8266	5699	708	1859	5700	7558	kept
m64152e_230610_114619/159187977/ccs/0	8266	707	5700	1859	708	2566	kept
m64152e_230610_114619/165479001/ccs/1	8272	5704	708	1860	5705	7564	kept
m64152e_230610_114619/168692048/ccs/1	8262	5697	706	1859	5698	7556	kept
