sequence	tool	start	end	length
124_4	gquad	99	134	36
124_4	gquad	225	263	39
124_4	gquad	350	402	53
124_4	pqsfinder	363	402	40
128_5	gquad	99	134	36
128_5	gquad	225	263	39
128_5	gquad	350	402	53
128_5	pqsfinder	363	402	40
203_3	gquad	49	101	53
203_3	gquad	105	134	30
203_3	gquad	349	402	54
203_3	pqsfinder	363	402	40
211_0	gquad	49	101	53
211_0	gquad	105	156	52
211_0	gquad	350	402	53
211_0	pqsfinder	363	402	40
K03455.1	gquad	99	134	36
K03455.1	gquad	225	263	39
K03455.1	gquad	350	402	53
K03455.1	pqsfinder	363	402	40
