record	segment_id	segment_len	iupac_substitutions
K03455.1	K03455_1	9719	0
124_4	124_4_seg1	8829	0
128_5	128_5_seg1	5469	0
203_3	203_3_seg1	1135	0
211_0	211_0_seg1	5958	0
