sequence	tool	n_hits	bp_covered
124_4	fimo	3	29
124_4	gquad	3	128
124_4	moods	2	20
124_4	pqsfinder	1	40
124_4	tfbstools	14	74
128_5	fimo	3	29
128_5	gquad	3	128
128_5	moods	2	20
128_5	pqsfinder	1	40
128_5	tfbstools	14	74
203_3	fimo	2	19
203_3	gquad	3	137
203_3	moods	1	10
203_3	pqsfinder	1	40
203_3	tfbstools	21	131
211_0	fimo	5	42
211_0	gquad	3	158
211_0	moods	5	36
211_0	pqsfinder	1	40
211_0	tfbstools	24	128
K03455.1	fimo	3	29
K03455.1	gquad	3	128
K03455.1	moods	2	20
K03455.1	pqsfinder	1	40
K03455.1	tfbstools	14	74
