Results:
Sequence,Muts,Potential Mut Sites,Control Muts,Potential Controls,Rate Ratio,Fisher's Exact P-value,Odds Ratio,Hypermutated
124_4,122,1081,108,1024,1.07,0.318175,1.078979,False
128_5,63,644,67,594,0.87,0.829228,0.852904,False
203_3,11,155,23,162,0.5,0.987656,0.461655,False
211_0,72,750,76,690,0.87,0.833955,0.857941,False

Summary:
No sequences appear to be hypermutated.

Locations of matches:

Sequence Name: 124_4
Pos	Mut
841	0
842	0
843	0
844	0
847	0
853	0
857	0
860	0
861	0
862	0
872	0
883	0
884	0
885	0
886	0
887	0
891	0
920	0
929	0
930	1
931	0
937	0
941	0
967	0
976	0
996	1
997	0
1024	0
1025	0
1030	0
1033	0
1040	1
1085	0
1086	0
1090	0
1092	0
1107	0
1108	0
1117	0
1122	1
1126	0
1128	0
1129	0
1132	0
1149	0
1180	1
1181	1
1197	0
1224	1
1233	0
1234	0
1242	0
1265	0
1280	0
1281	0
1294	0
1297	0
1299	1
1315	0
1320	1
1345	0
1348	1
1349	0
1363	0
1389	0
1390	0
1391	0
1392	1
1393	0
1423	0
1435	0
1437	0
1438	0
1447	0
1451	1
1452	0
1453	0
1477	0
1497	0
1500	0
1502	0
1504	0
1511	0
1512	0
1513	0
1514	0
1519	0
1528	0
1529	0
1548	0
1549	0
1559	0
1562	1
1563	0
1591	0
1592	0
1594	0
1607	0
1610	0
1611	0
1620	1
1621	0
1622	0
1640	0
1665	1
1678	0
1686	0
1687	0
1697	0
1699	0
1708	0
1712	1
1730	0
1735	0
1749	0
1752	0
1763	0
1764	0
1771	0
1782	1
1794	0
1801	0
1827	1
1828	0
1834	0
1846	0
1849	0
1854	0
1869	1
1870	0
1871	0
1876	0
1877	0
1879	1
1885	1
1898	1
1909	0
1917	0
1950	0
1956	1
1958	1
1970	1
1971	1
1979	0
1983	1
2011	0
2014	0
2027	0
2036	0
2045	0
2046	1
2052	0
2060	0
2061	0
2068	0
2069	0
2073	0
2074	0
2077	0
2088	0
2092	0
2101	0
2103	1
2122	0
2123	0
2124	0
2127	1
2145	0
2146	0
2147	0
2155	0
2156	0
2157	0
2169	0
2203	0
2224	0
2226	0
2234	0
2239	0
2240	0
2241	0
2242	0
2245	0
2265	0
2271	0
2272	0
2274	0
2277	1
2281	0
2286	0
2287	0
2315	1
2351	1
2355	0
2356	0
2357	0
2358	0
2369	1
2370	0
2382	0
2388	0
2389	0
2394	0
2397	0
2409	0
2412	0
2417	1
2427	0
2428	0
2431	1
2434	0
2435	0
2447	0
2451	1
2452	0
2453	0
2454	0
2455	0
2460	0
2461	0
2463	0
2487	0
2492	1
2502	0
2511	0
2526	0
2541	0
2565	0
2566	0
2569	0
2585	0
2622	0
2649	0
2650	0
2654	0
2655	0
2688	0
2691	0
2712	0
2724	0
2726	1
2729	0
2730	0
2735	0
2736	0
2739	0
2740	0
2741	1
2757	0
2763	0
2798	0
2818	0
2819	0
2821	0
2832	0
2839	0
2841	0
2852	0
2854	0
2869	1
2870	0
2871	0
2883	0
2884	0
2901	0
2912	0
2933	1
2934	0
2939	0
2940	0
2943	0
2967	0
2970	0
2973	0
2980	0
2981	1
3018	0
3027	0
3028	0
3029	0
3034	0
3059	0
3060	0
3061	0
3064	0
3065	0
3069	0
3070	0
3111	0
3121	0
3135	0
3158	0
3159	0
3162	0
3174	0
3175	0
3186	0
3192	0
3202	0
3213	0
3215	1
3216	0
3221	1
3223	0
3236	0
3238	1
3241	0
3242	0
3243	0
3244	0
3272	0
3276	0
3292	0
3293	0
3296	0
3297	0
3303	0
3315	0
3322	0
3339	0
3348	0
3354	0
3361	0
3372	0
3380	0
3389	1
3390	0
3391	0
3392	1
3398	0
3403	1
3413	0
3423	1
3424	0
3425	1
3457	0
3459	0
3460	0
3477	0
3495	0
3498	0
3504	0
3510	0
3519	0
3526	0
3528	0
3530	0
3540	0
3552	0
3553	0
3588	0
3596	0
3602	1
3603	0
3616	0
3636	0
3653	0
3660	0
3661	0
3673	1
3677	0
3679	0
3680	0
3681	0
3696	0
3714	0
3738	0
3754	0
3755	0
3756	0
3757	0
3791	0
3792	0
3799	0
3800	0
3801	0
3808	0
3811	0
3816	0
3835	0
3836	0
3843	0
3847	0
3848	0
3849	0
3875	0
3883	0
3894	0
3896	0
3900	0
3912	0
3913	0
3918	0
3933	0
3936	0
3937	0
3949	0
3950	1
3951	0
3963	0
3964	0
3972	0
3973	0
3988	0
3990	0
3991	0
4031	0
4038	0
4067	0
4068	0
4073	1
4074	0
4116	0
4117	0
4137	0
4146	0
4152	0
4173	0
4190	0
4191	0
4196	0
4210	0
4211	0
4227	0
4228	0
4233	0
4234	0
4236	0
4237	0
4242	0
4251	0
4266	1
4269	0
4270	0
4276	0
4277	1
4293	0
4296	0
4297	0
4302	0
4314	0
4317	0
4323	0
4325	0
4342	0
4343	0
4345	0
4359	0
4389	0
4407	0
4425	0
4426	0
4428	0
4440	0
4461	0
4462	0
4476	0
4491	0
4494	0
4495	0
4508	0
4539	0
4545	0
4560	0
4566	0
4571	0
4572	0
4602	0
4603	0
4606	0
4638	0
4653	1
4656	1
4661	0
4666	1
4678	0
4681	0
4685	1
4697	0
4698	0
4704	0
4705	0
4731	0
4732	0
4740	0
4748	0
4755	0
4763	0
4773	0
4778	1
4783	0
4785	0
4794	0
4846	0
4851	0
4852	0
4853	0
4854	0
4855	0
4856	0
4860	0
4861	0
4862	0
4863	0
4864	0
4875	0
4876	0
4877	0
4878	0
4882	0
4920	0
4957	0
4958	0
4969	0
4970	0
4978	0
4990	0
4991	0
4995	0
5014	0
5015	0
5019	0
5022	0
5025	0
5026	0
5071	0
5074	0
5084	0
5092	0
5093	0
5094	0
5100	0
5101	0
5108	0
5115	0
5118	0
5121	0
5141	0
5142	0
5145	0
5147	0
5148	0
5153	0
5159	0
5160	0
5194	1
5195	0
5196	0
5204	1
5205	1
5206	0
5210	0
5230	0
5246	1
5257	0
5275	0
5276	0
5277	0
5278	0
5285	0
5289	1
5306	0
5307	0
5308	0
5320	0
5321	0
5323	0
5327	0
5329	0
5340	0
5341	0
5346	0
5347	0
5348	0
5359	0
5363	0
5364	0
5373	1
5375	0
5434	0
5446	0
5473	0
5492	0
5497	1
5509	0
5520	0
5524	0
5525	0
5571	0
5598	0
5608	0
5610	0
5611	0
5615	0
5618	0
5619	0
5631	0
5640	0
5648	0
5650	0
5651	1
5652	0
5664	0
5668	0
5676	0
5685	0
5687	0
5688	0
5696	0
5700	0
5736	0
5737	0
5742	0
5766	0
5767	0
5768	1
5769	0
5776	0
5781	0
5782	0
5786	0
5787	0
5800	0
5834	0
5839	0
5840	0
5855	0
5874	0
5885	0
5890	0
5900	0
5912	0
5919	0
5920	0
5930	0
5931	0
6033	0
6034	0
6037	0
6042	0
6043	0
6054	0
6067	1
6121	0
6186	0
6203	0
6210	0
6211	1
6228	1
6240	0
6248	0
6252	0
6260	0
6264	0
6269	0
6272	0
6284	0
6286	1
6290	0
6293	0
6294	0
6296	0
6323	0
6325	0
6328	0
6329	0
6330	0
6331	0
6334	0
6335	0
6337	0
6340	0
6341	0
6357	0
6365	0
6384	0
6394	0
6395	0
6411	0
6412	0
6413	0
6424	0
6425	0
6428	1
6429	0
6459	0
6474	1
6480	0
6496	1
6537	0
6548	1
6549	0
6561	0
6577	0
6578	0
6590	0
6594	0
6599	0
6606	0
6608	0
6609	0
6625	0
6626	0
6627	0
6692	0
6695	0
6718	0
6723	1
6747	0
6749	0
6754	0
6756	0
6758	1
6790	0
6796	1
6798	0
6803	0
6804	1
6806	1
6809	0
6837	0
6867	0
6887	1
6929	0
6939	0
6972	0
6980	0
7001	0
7011	0
7012	0
7056	0
7057	0
7095	0
7107	0
7110	0
7113	0
7115	0
7126	0
7131	0
7142	1
7172	0
7185	0
7225	0
7242	0
7248	0
7252	0
7269	1
7278	0
7279	0
7286	1
7312	0
7314	0
7321	0
7322	0
7340	0
7348	1
7357	0
7404	0
7405	0
7407	0
7408	0
7409	0
7416	0
7443	0
7444	0
7446	0
7447	0
7448	0
7449	0
7492	0
7493	0
7507	0
7508	1
7519	0
7533	0
7536	0
7537	0
7542	0
7564	0
7592	0
7599	0
7600	0
7627	0
7629	0
7639	1
7659	0
7675	0
7677	0
7680	0
7683	0
7690	0
7698	1
7710	0
7725	0
7726	0
7728	0
7729	0
7731	0
7732	0
7734	1
7739	0
7741	1
7742	1
7750	0
7751	0
7753	0
7758	0
7788	0
7797	0
7798	0
7820	0
7822	0
7825	0
7829	0
7832	0
7835	1
7837	0
7839	0
7846	0
7853	1
7854	0
7860	0
7861	0
7875	0
7876	0
7883	0
7884	0
7885	0
7893	1
7894	0
7904	0
7928	0
7953	0
7970	1
7982	0
7984	0
7992	0
8026	1
8027	0
8050	0
8063	0
8064	0
8078	0
8079	0
8093	1
8094	0
8095	0
8096	1
8101	0
8102	0
8103	0
8112	0
8113	0
8133	1
8143	0
8144	0
8155	0
8156	0
8171	1
8177	0
8182	0
8183	0
8197	0
8198	0
8201	1
8202	0
8206	0
8207	0
8208	0
8212	0
8214	0
8253	0
8256	0
8274	0
8279	0
8283	0
8289	0
8298	0
8311	0
8323	0
8324	0
8329	0
8353	0
8375	0
8382	0
8383	0
8390	0
8394	0
8401	0
8429	1
8434	0
8444	0
8445	0
8446	0
8486	0
8488	0
8489	0
8490	0
8505	0
8508	0
8509	0
8514	0
8517	0
8520	0
8523	0
8526	0
8527	0
8529	0
8533	1
8539	0
8545	0
8554	0
8561	0
8565	0
8566	0
8584	0
8585	0
8589	0
8594	0
8596	0
8597	0
8627	0
8629	0
8642	1
8651	0
8653	0
8654	0
8660	0
8661	0
8669	0
8670	0
8677	0
8678	0
8679	0
8680	0
8683	0
8684	0
8685	0
8704	0
8705	0
8722	0
8723	0
