sequence	subtype_used	source
124_4	D	assembly reference D:KU168271
128_5	B	assembly reference B:K03455
203_3	A1	assembly reference A1:KU168256
211_0	D	assembly reference D:KU168271
K03455.1	HXB2	reference control
