sample	regions	read groups (HXB2 coords)
124_4	3	814-8002 (x9); 1963-9719 (x7); 8986-9719 (x24)
128_5	3	1594-3333 (x1); 1594-7030 (x73); 2340-7030 (x1)
203_3	2	27-1106 (x10); 27-1193 (x9)
211_0	2	26-5120 (x21); 4410-6001 (x9)
