name	orig_len	lead_N	trail_N	provirus_len	prov_start	prov_end	status
m64152e_230610_114619/2622383/ccs/1	8266	1389	5699	1178	1390	2567	kept
m64152e_230610_114619/30149189/ccs/0	8269	1389	5779	1101	1390	2490	kept
m64152e_230610_114619/30870061/ccs/1	8265	1388	5699	1178	1389	2566	kept
m64152e_230610_114619/35980103/ccs/0	8266	1388	5778	1100	1389	2488	kept
m64152e_230610_114619/54724703/ccs/1	8265	1389	5698	1178	1390	2567	kept
m64152e_230610_114619/91882661/ccs/0	8265	1387	5778	1100	1388	2487	kept
m64152e_230610_114619/101778303/ccs/1	8264	1389	5697	1178	1390	2567	kept
m64152e_230610_114619/113445523/ccs/0	8265	1388	5777	1100	1389	2488	kept
m64152e_230610_114619/114098377/ccs/fwd/1	8272	1391	5701	1180	1392	2571	kept
m64152e_230610_114619/114098377/ccs/rev/0	8274	1389	5786	1099	1390	2488	kept
m64152e_230610_114619/116983891/ccs/0	8243	1382	5763	1098	1383	2480	kept
m64152e_230610_114619/139722843/ccs/fwd/1	8259	1394	5768	1097	1395	2491	kept
m64152e_230610_114619/139722843/ccs/rev/0	8253	1385	5768	1100	1386	2485	kept
m64152e_230610_114619/140380282/ccs/1	8265	1389	5698	1178	1390	2567	kept
m64152e_230610_114619/148506052/ccs/0	8266	1388	5778	1100	1389	2488	kept
m64152e_230610_114619/150603120/ccs/1	8266	1389	5699	1178	1390	2567	kept
m64152e_230610_114619/159187977/ccs/0	8266	1388	5778	1100	1389	2488	kept
m64152e_230610_114619/165479001/ccs/1	8272	1389	5704	1179	1390	2568	kept
m64152e_230610_114619/168692048/ccs/1	8262	1387	5697	1178	1388	2565	kept
