gene	124_4	128_5	203_3	211_0
gag	98%	47%	27%	100%
pol	100%	100%	0%	100%
vif	100%	100%	0%	100%
vpr	100%	100%	0%	100%
tat	100%	82%	0%	66%
rev	100%	22%	0%	9%
env	100%	31%	0%	0%
nef	100%	0%	0%	0%
